,kommunenummer,navn,Y,expected,SMR,kommunenavn,prosent,re_u,re_v,RR,LL,UL
115,3027,RÃ¦lingen,17,19.68223745,0.86372294,Rælingen,22,115,115,0.951224891,0.864510184,1.021408087
116,3028,Enebakk,13,11.9469541,1.088143462,Enebakk,34,116,116,1.028206109,0.948868464,1.095262186
117,3029,LÃ¸renskog,43,45.71818471,0.94054478,Lørenskog,23,117,117,0.96808104,0.888869431,1.02947922
118,3030,LillestrÃ¸m,94,97.59310496,0.963182799,Lillestrøm,22,118,118,0.977024702,0.915356922,1.028879614
119,3031,Nittedal,25,26.78748105,0.933271776,Nittedal,25,119,119,0.969171853,0.895679386,1.027867743
120,3032,Gjerdrum,4,7.593326301,0.526778363,Gjerdrum,23,120,120,0.979774111,0.900490586,1.042486872
121,3033,Ullensaker,36,42.06425901,0.855833452,Ullensaker,23,121,121,1.004522383,0.931791691,1.064728699
122,3034,Nes,25,25.63351957,0.975285502,Nes,29,122,122,1.024277871,0.957556878,1.088474953
123,3035,Eidsvoll,33,28.15939927,1.1719,Eidsvoll,29,123,123,1.059828714,0.986713976,1.135203269
124,3036,Nannestad,15,14.8688825,1.008818248,Nannestad,28,124,124,1.005830627,0.938274338,1.064179346
125,3037,Hurdal,0,3.663352443,0,Hurdal,33,125,125,1.067387207,0.981092869,1.15190556
126,3038,Hole,8,7.922401245,1.009794853,Hole,22,126,126,0.947878958,0.874961609,1.018755808
127,3039,FlÃ¥,0,1.53549808,0,Flå,0,127,127,0.935056648,0.863554306,1.008021195
128,3040,Nesbyen,4,4.55159948,0.878811947,Nesbyen,16,128,128,1.045027548,0.973114977,1.121262296
129,3041,Gol,5,6.176738412,0.809488709,Gol,30,129,129,1.008781883,0.944098633,1.079294494
130,3042,Hemsedal,0,2.87590251,0,Hemsedal,26,130,130,1.008850425,0.947319446,1.079534956
131,3043,Ã…l,6,6.28183027,0.955135644,Ål,26,131,131,1.020564207,0.958290647,1.090532565
132,3044,Hol,6,5.877507532,1.020840887,Hol,32,132,132,0.992020175,0.931459004,1.062930716
133,3045,Sigdal,5,4.618079934,1.082701051,Sigdal,32,133,133,1.002674283,0.941992507,1.06299102
134,3046,KrÃ¸dsherad,3,2.791200814,1.074806221,Krødsherad,0,134,134,1.024962991,0.952293543,1.096655667
135,3047,Modum,16,17.38827844,0.920160099,Modum,28,135,135,1.038056988,0.970606582,1.105641248
136,3048,Ã˜vre Eiker,23,22.96891797,1.001353221,Øvre Eiker,32,136,136,1.041634025,0.975570779,1.110419018
137,3049,Lier,34,30.58699039,1.111583702,Lier,21,137,137,0.97265572,0.910170843,1.036129806
138,3050,Flesberg,0,3.426065279,0,Flesberg,43,138,138,1.010305189,0.943744221,1.073085746
139,3051,Rollag,0,1.998100497,0,Rollag,43,139,139,0.933919081,0.85491814,1.012643689
140,3052,Nore og Uvdal,3,3.405478803,0.880933394,Nore og Uvdal,38,140,140,1.037715695,0.976233091,1.101810553
141,3053,Jevnaker,9,8.313825467,1.082534152,Jevnaker,22,141,141,0.984934502,0.906577943,1.055144498
142,3054,Lunner,9,10.50802771,0.856488034,Lunner,15,142,142,0.995320204,0.925631254,1.052308129
143,3401,Kongsvinger,25,23.45893161,1.065692181,Kongsvinger,27,143,143,1.097379452,0.99205543,1.211936234
144,3403,Hamar,43,40.57081479,1.059875189,Hamar,20,144,144,0.999720373,0.93560438,1.080846967
145,3405,Lillehammer,42,35.98439899,1.167172474,Lillehammer,19,145,145,0.985364165,0.924615428,1.06176624
146,3407,GjÃ¸vik,40,37.99817848,1.052682039,Gjøvik,24,146,146,1.033971566,0.97123011,1.104009724
147,3411,Ringsaker,47,43.08394805,1.090893526,Ringsaker,23,147,147,1.070207183,0.999450916,1.151155977
148,3412,LÃ¸ten,11,9.631748317,1.14205642,Løten,20,148,148,1.043968122,0.974866702,1.131155389
149,3413,Stange,30,25.77962113,1.163709887,Stange,27,149,149,1.022709474,0.965057839,1.092259273
150,3414,Nord-Odal,9,6.827042926,1.318286716,Nord-Odal,40,150,150,1.128513649,1.018640106,1.248390711
151,3415,SÃ¸r-Odal,11,9.466695619,1.161968277,Sør-Odal,30,151,151,1.048070161,0.969319449,1.132935674
152,3416,Eidskog,11,8.530227192,1.289531891,Eidskog,28,152,152,1.114728347,1.005033328,1.23240093
153,3417,Grue,9,6.767000067,1.329983732,Grue,38,153,153,1.174229323,1.031230615,1.333680431
