kommunenummer,kommunenavn,Kjønn,Alder,2010-2019
619,Ål,menn,0-74 år,2
619,Ål,menn,75 år og eldre,2
619,Ål,kvinner,0-74 år,1
619,Ål,kvinner,75 år og eldre,1
1504,Ålesund,menn,0-74 år,28
1504,Ålesund,menn,75 år og eldre,22
1504,Ålesund,kvinner,0-74 år,17
1504,Ålesund,kvinner,75 år og eldre,21
1820,Alstahaug,menn,0-74 år,6
1820,Alstahaug,menn,75 år og eldre,2
1820,Alstahaug,kvinner,0-74 år,3
1820,Alstahaug,kvinner,75 år og eldre,2
2012,Alta,menn,0-74 år,6
2012,Alta,menn,75 år og eldre,3
2012,Alta,kvinner,0-74 år,5
2012,Alta,kvinner,75 år og eldre,3
438,Alvdal,menn,0-74 år,0
438,Alvdal,menn,75 år og eldre,0
438,Alvdal,kvinner,0-74 år,0
438,Alvdal,kvinner,75 år og eldre,0
1256,Meland,menn,0-74 år,12
1256,Meland,menn,75 år og eldre,7
1256,Meland,kvinner,0-74 år,8
1256,Meland,kvinner,75 år og eldre,7
1260,Radøy,menn,0-74 år,12
1260,Radøy,menn,75 år og eldre,7
1260,Radøy,kvinner,0-74 år,8
1260,Radøy,kvinner,75 år og eldre,7
1263,Lindås,menn,0-74 år,12
1263,Lindås,menn,75 år og eldre,7
1263,Lindås,kvinner,0-74 år,8
1263,Lindås,kvinner,75 år og eldre,7
929,Åmli,menn,0-74 år,0
929,Åmli,menn,75 år og eldre,0
929,Åmli,kvinner,0-74 år,0
929,Åmli,kvinner,75 år og eldre,0
429,Åmot,menn,0-74 år,2
429,Åmot,menn,75 år og eldre,1
429,Åmot,kvinner,0-74 år,1
429,Åmot,kvinner,75 år og eldre,1
1871,Andøy,menn,0-74 år,2
1871,Andøy,menn,75 år og eldre,2
1871,Andøy,kvinner,0-74 år,2
1871,Andøy,kvinner,75 år og eldre,2
1424,Årdal,menn,0-74 år,3
1424,Årdal,menn,75 år og eldre,3
1424,Årdal,kvinner,0-74 år,2
1424,Årdal,kvinner,75 år og eldre,2
118,Aremark,menn,0-74 år,0
118,Aremark,menn,75 år og eldre,0
118,Aremark,kvinner,0-74 år,0
118,Aremark,kvinner,75 år og eldre,0
906,Arendal,menn,0-74 år,21
906,Arendal,menn,75 år og eldre,9
906,Arendal,kvinner,0-74 år,15
906,Arendal,kvinner,75 år og eldre,11
214,Ås,menn,0-74 år,6
214,Ås,menn,75 år og eldre,4
214,Ås,kvinner,0-74 år,6
214,Ås,kvinner,75 år og eldre,4
1026,Åseral,menn,0-74 år,0
1026,Åseral,menn,75 år og eldre,0
1026,Åseral,kvinner,0-74 år,0
1026,Åseral,kvinner,75 år og eldre,0
220,Asker,menn,0-74 år,32
220,Asker,menn,75 år og eldre,18
220,Asker,kvinner,0-74 år,28
220,Asker,kvinner,75 år og eldre,22
1247,Askøy,menn,0-74 år,12
1247,Askøy,menn,75 år og eldre,6
1247,Askøy,kvinner,0-74 år,9
1247,Askøy,kvinner,75 år og eldre,6
1428,Askvoll,menn,0-74 år,2
1428,Askvoll,menn,75 år og eldre,1
1428,Askvoll,kvinner,0-74 år,1
1428,Askvoll,kvinner,75 år og eldre,2
425,Åsnes,menn,0-74 år,4
425,Åsnes,menn,75 år og eldre,4
425,Åsnes,kvinner,0-74 år,3
425,Åsnes,kvinner,75 år og eldre,3
1547,Aukra,menn,0-74 år,2
1547,Aukra,menn,75 år og eldre,1
1547,Aukra,kvinner,0-74 år,2
1547,Aukra,kvinner,75 år og eldre,2
1576,Aure,menn,0-74 år,2
1576,Aure,menn,75 år og eldre,2
1576,Aure,kvinner,0-74 år,2
1576,Aure,kvinner,75 år og eldre,2
1421,Aurland,menn,0-74 år,0
1421,Aurland,menn,75 år og eldre,0
1421,Aurland,kvinner,0-74 år,0
1421,Aurland,kvinner,75 år og eldre,0
221,Aurskog-Høland,menn,0-74 år,7
221,Aurskog-Høland,menn,75 år og eldre,4
221,Aurskog-Høland,kvinner,0-74 år,7
221,Aurskog-Høland,kvinner,75 år og eldre,5
1244,Austevoll,menn,0-74 år,3
1244,Austevoll,menn,75 år og eldre,1
1244,Austevoll,kvinner,0-74 år,2
1244,Austevoll,kvinner,75 år og eldre,2
1264,Austrheim,menn,0-74 år,0
1264,Austrheim,menn,75 år og eldre,0
1264,Austrheim,kvinner,0-74 år,0
1264,Austrheim,kvinner,75 år og eldre,0
1554,Averøy,menn,0-74 år,3
1554,Averøy,menn,75 år og eldre,3
1554,Averøy,kvinner,0-74 år,2
1554,Averøy,kvinner,75 år og eldre,1
219,Bærum,menn,0-74 år,44
219,Bærum,menn,75 år og eldre,27
219,Bærum,kvinner,0-74 år,37
219,Bærum,kvinner,75 år og eldre,32
1933,Balsfjord,menn,0-74 år,4
1933,Balsfjord,menn,75 år og eldre,2
1933,Balsfjord,kvinner,0-74 år,3
1933,Balsfjord,kvinner,75 år og eldre,2
814,Bamble,menn,0-74 år,7
814,Bamble,menn,75 år og eldre,3
814,Bamble,kvinner,0-74 år,4
814,Bamble,kvinner,75 år og eldre,2
1922,Bardu,menn,0-74 år,3
1922,Bardu,menn,75 år og eldre,1
1922,Bardu,kvinner,0-74 år,2
1922,Bardu,kvinner,75 år og eldre,2
2028,Båtsfjord,menn,0-74 år,0
2028,Båtsfjord,menn,75 år og eldre,0
2028,Båtsfjord,kvinner,0-74 år,0
2028,Båtsfjord,kvinner,75 år og eldre,0
1839,Beiarn,menn,0-74 år,0
1839,Beiarn,menn,75 år og eldre,0
1839,Beiarn,kvinner,0-74 år,0
1839,Beiarn,kvinner,75 år og eldre,0
1201,Bergen,menn,0-74 år,111
1201,Bergen,menn,75 år og eldre,70
1201,Bergen,kvinner,0-74 år,85
1201,Bergen,kvinner,75 år og eldre,79
2024,Berlevåg,menn,0-74 år,0
2024,Berlevåg,menn,75 år og eldre,0
2024,Berlevåg,kvinner,0-74 år,0
2024,Berlevåg,kvinner,75 år og eldre,0
1811,Bindal,menn,0-74 år,0
1811,Bindal,menn,75 år og eldre,0
1811,Bindal,kvinner,0-74 år,0
1811,Bindal,kvinner,75 år og eldre,0
928,Birkenes,menn,0-74 år,0
928,Birkenes,menn,75 år og eldre,0
928,Birkenes,kvinner,0-74 år,0
928,Birkenes,kvinner,75 år og eldre,0
1114,Bjerkreim,menn,0-74 år,0
1114,Bjerkreim,menn,75 år og eldre,0
1114,Bjerkreim,kvinner,0-74 år,0
1114,Bjerkreim,kvinner,75 år og eldre,0
4624,Bjørnafjorden,menn,0-74 år,10
4624,Bjørnafjorden,menn,75 år og eldre,5
4624,Bjørnafjorden,kvinner,0-74 år,7
4624,Bjørnafjorden,kvinner,75 år og eldre,6
1867,Bø,menn,0-74 år,1
1867,Bø,menn,75 år og eldre,1
1867,Bø,kvinner,0-74 år,1
1867,Bø,kvinner,75 år og eldre,2
1804,Bodø,menn,0-74 år,25
1804,Bodø,menn,75 år og eldre,12
1804,Bodø,kvinner,0-74 år,18
1804,Bodø,kvinner,75 år og eldre,12
1145,Bokn,menn,0-74 år,0
1145,Bokn,menn,75 år og eldre,0
1145,Bokn,kvinner,0-74 år,0
1145,Bokn,kvinner,75 år og eldre,0
1219,Bømlo,menn,0-74 år,6
1219,Bømlo,menn,75 år og eldre,3
1219,Bømlo,kvinner,0-74 år,3
1219,Bømlo,kvinner,75 år og eldre,4
1438,Bremanger,menn,0-74 år,2
1438,Bremanger,menn,75 år og eldre,2
1438,Bremanger,kvinner,0-74 år,2
1438,Bremanger,kvinner,75 år og eldre,3
1813,Brønnøy,menn,0-74 år,3
1813,Brønnøy,menn,75 år og eldre,2
1813,Brønnøy,kvinner,0-74 år,2
1813,Brønnøy,kvinner,75 år og eldre,2
938,Bygland,menn,0-74 år,0
938,Bygland,menn,75 år og eldre,0
938,Bygland,kvinner,0-74 år,0
938,Bygland,kvinner,75 år og eldre,0
941,Bykle,menn,0-74 år,0
941,Bykle,menn,75 år og eldre,0
941,Bykle,kvinner,0-74 år,0
941,Bykle,kvinner,75 år og eldre,0
2025,Deatnu Tana,menn,0-74 år,2
2025,Deatnu Tana,menn,75 år og eldre,0
2025,Deatnu Tana,kvinner,0-74 år,0
2025,Deatnu Tana,kvinner,75 år og eldre,0
1827,Dønna,menn,0-74 år,0
1827,Dønna,menn,75 år og eldre,0
1827,Dønna,kvinner,0-74 år,0
1827,Dønna,kvinner,75 år og eldre,0
511,Dovre,menn,0-74 år,2
511,Dovre,menn,75 år og eldre,1
511,Dovre,kvinner,0-74 år,1
511,Dovre,kvinner,75 år og eldre,2
602,Drammen,menn,0-74 år,42
602,Drammen,menn,75 år og eldre,26
602,Drammen,kvinner,0-74 år,31
602,Drammen,kvinner,75 år og eldre,31
817,Drangedal,menn,0-74 år,1
817,Drangedal,menn,75 år og eldre,1
817,Drangedal,kvinner,0-74 år,2
817,Drangedal,kvinner,75 år og eldre,2
1926,Dyrøy,menn,0-74 år,0
1926,Dyrøy,menn,75 år og eldre,0
1926,Dyrøy,kvinner,0-74 år,0
1926,Dyrøy,kvinner,75 år og eldre,0
1232,Eidfjord,menn,0-74 år,0
1232,Eidfjord,menn,75 år og eldre,0
1232,Eidfjord,kvinner,0-74 år,0
1232,Eidfjord,kvinner,75 år og eldre,0
420,Eidskog,menn,0-74 år,3
420,Eidskog,menn,75 år og eldre,3
420,Eidskog,kvinner,0-74 år,3
420,Eidskog,kvinner,75 år og eldre,2
237,Eidsvoll,menn,0-74 år,12
237,Eidsvoll,menn,75 år og eldre,7
237,Eidsvoll,kvinner,0-74 år,8
237,Eidsvoll,kvinner,75 år og eldre,6
1101,Eigersund,menn,0-74 år,6
1101,Eigersund,menn,75 år og eldre,4
1101,Eigersund,kvinner,0-74 år,5
1101,Eigersund,kvinner,75 år og eldre,4
427,Elverum,menn,0-74 år,10
427,Elverum,menn,75 år og eldre,6
427,Elverum,kvinner,0-74 år,8
427,Elverum,kvinner,75 år og eldre,7
229,Enebakk,menn,0-74 år,6
229,Enebakk,menn,75 år og eldre,3
229,Enebakk,kvinner,0-74 år,3
229,Enebakk,kvinner,75 år og eldre,1
434,Engerdal,menn,0-74 år,0
434,Engerdal,menn,75 år og eldre,0
434,Engerdal,kvinner,0-74 år,0
434,Engerdal,kvinner,75 år og eldre,0
1211,Etne,menn,0-74 år,2
1211,Etne,menn,75 år og eldre,1
1211,Etne,kvinner,0-74 år,2
1211,Etne,kvinner,75 år og eldre,2
541,Etnedal,menn,0-74 år,0
541,Etnedal,menn,75 år og eldre,0
541,Etnedal,kvinner,0-74 år,0
541,Etnedal,kvinner,75 år og eldre,0
1853,Evenes,menn,0-74 år,0
1853,Evenes,menn,75 år og eldre,0
1853,Evenes,kvinner,0-74 år,0
1853,Evenes,kvinner,75 år og eldre,0
937,Evje og Hornnes,menn,0-74 år,1
937,Evje og Hornnes,menn,75 år og eldre,1
937,Evje og Hornnes,kvinner,0-74 år,2
937,Evje og Hornnes,kvinner,75 år og eldre,2
729,Færder,menn,0-74 år,13
729,Færder,menn,75 år og eldre,9
729,Færder,kvinner,0-74 år,9
729,Færder,kvinner,75 år og eldre,9
1003,Farsund,menn,0-74 år,5
1003,Farsund,menn,75 år og eldre,4
1003,Farsund,kvinner,0-74 år,3
1003,Farsund,kvinner,75 år og eldre,3
1841,Fauske Fuosko,menn,0-74 år,6
1841,Fauske Fuosko,menn,75 år og eldre,2
1841,Fauske Fuosko,kvinner,0-74 år,4
1841,Fauske Fuosko,kvinner,75 år og eldre,3
1265,Fedje,menn,0-74 år,0
1265,Fedje,menn,75 år og eldre,0
1265,Fedje,kvinner,0-74 år,0
1265,Fedje,kvinner,75 år og eldre,0
1222,Fitjar,menn,0-74 år,0
1222,Fitjar,menn,75 år og eldre,0
1222,Fitjar,kvinner,0-74 år,0
1222,Fitjar,kvinner,75 år og eldre,0
1429,Fjaler,menn,0-74 år,2
1429,Fjaler,menn,75 år og eldre,1
1429,Fjaler,kvinner,0-74 år,1
1429,Fjaler,kvinner,75 år og eldre,2
1578,Fjord,menn,0-74 år,1
1578,Fjord,menn,75 år og eldre,1
1578,Fjord,kvinner,0-74 år,1
1578,Fjord,kvinner,75 år og eldre,1
615,Flå,menn,0-74 år,0
615,Flå,menn,75 år og eldre,0
615,Flå,kvinner,0-74 år,0
615,Flå,kvinner,75 år og eldre,0
1859,Flakstad,menn,0-74 år,0
1859,Flakstad,menn,75 år og eldre,0
1859,Flakstad,kvinner,0-74 år,0
1859,Flakstad,kvinner,75 år og eldre,0
1004,Flekkefjord,menn,0-74 år,4
1004,Flekkefjord,menn,75 år og eldre,3
1004,Flekkefjord,kvinner,0-74 år,3
1004,Flekkefjord,kvinner,75 år og eldre,4
631,Flesberg,menn,0-74 år,0
631,Flesberg,menn,75 år og eldre,0
631,Flesberg,kvinner,0-74 år,0
631,Flesberg,kvinner,75 år og eldre,0
439,Folldal,menn,0-74 år,0
439,Folldal,menn,75 år og eldre,0
439,Folldal,kvinner,0-74 år,0
439,Folldal,kvinner,75 år og eldre,0
106,Fredrikstad,menn,0-74 år,39
106,Fredrikstad,menn,75 år og eldre,20
106,Fredrikstad,kvinner,0-74 år,29
106,Fredrikstad,kvinner,75 år og eldre,26
215,Frogn,menn,0-74 år,7
215,Frogn,menn,75 år og eldre,4
215,Frogn,kvinner,0-74 år,7
215,Frogn,kvinner,75 år og eldre,4
919,Froland,menn,0-74 år,3
919,Froland,menn,75 år og eldre,1
919,Froland,kvinner,0-74 år,1
919,Froland,kvinner,75 år og eldre,1
831,Fyresdal,menn,0-74 år,0
831,Fyresdal,menn,75 år og eldre,0
831,Fyresdal,kvinner,0-74 år,0
831,Fyresdal,kvinner,75 år og eldre,0
1940,Gáivuotna Kåfjord Kaivuono,menn,0-74 år,2
1940,Gáivuotna Kåfjord Kaivuono,menn,75 år og eldre,0
1940,Gáivuotna Kåfjord Kaivuono,kvinner,0-74 år,0
1940,Gáivuotna Kåfjord Kaivuono,kvinner,75 år og eldre,0
2023,Gamvik,menn,0-74 år,0
2023,Gamvik,menn,75 år og eldre,0
2023,Gamvik,kvinner,0-74 år,0
2023,Gamvik,kvinner,75 år og eldre,0
522,Gausdal,menn,0-74 år,2
522,Gausdal,menn,75 år og eldre,2
522,Gausdal,kvinner,0-74 år,3
522,Gausdal,kvinner,75 år og eldre,2
1838,Gildeskål,menn,0-74 år,1
1838,Gildeskål,menn,75 år og eldre,0
1838,Gildeskål,kvinner,0-74 år,0
1838,Gildeskål,kvinner,75 år og eldre,0
1532,Giske,menn,0-74 år,3
1532,Giske,menn,75 år og eldre,2
1532,Giske,kvinner,0-74 år,2
1532,Giske,kvinner,75 år og eldre,2
1557,Gjemnes,menn,0-74 år,1
1557,Gjemnes,menn,75 år og eldre,1
1557,Gjemnes,kvinner,0-74 år,1
1557,Gjemnes,kvinner,75 år og eldre,1
234,Gjerdrum,menn,0-74 år,2
234,Gjerdrum,menn,75 år og eldre,0
234,Gjerdrum,kvinner,0-74 år,1
234,Gjerdrum,kvinner,75 år og eldre,1
911,Gjerstad,menn,0-74 år,0
911,Gjerstad,menn,75 år og eldre,0
911,Gjerstad,kvinner,0-74 år,0
911,Gjerstad,kvinner,75 år og eldre,0
1122,Gjesdal,menn,0-74 år,4
1122,Gjesdal,menn,75 år og eldre,1
1122,Gjesdal,kvinner,0-74 år,4
1122,Gjesdal,kvinner,75 år og eldre,2
502,Gjøvik,menn,0-74 år,13
502,Gjøvik,menn,75 år og eldre,9
502,Gjøvik,kvinner,0-74 år,10
502,Gjøvik,kvinner,75 år og eldre,9
1445,Gloppen,menn,0-74 år,3
1445,Gloppen,menn,75 år og eldre,3
1445,Gloppen,kvinner,0-74 år,2
1445,Gloppen,kvinner,75 år og eldre,3
617,Gol,menn,0-74 år,2
617,Gol,menn,75 år og eldre,1
617,Gol,kvinner,0-74 år,1
617,Gol,kvinner,75 år og eldre,1
534,Gran,menn,0-74 år,6
534,Gran,menn,75 år og eldre,3
534,Gran,kvinner,0-74 år,4
534,Gran,kvinner,75 år og eldre,5
1825,Grane,menn,0-74 år,0
1825,Grane,menn,75 år og eldre,0
1825,Grane,kvinner,0-74 år,0
1825,Grane,kvinner,75 år og eldre,0
1919,Gratangen,menn,0-74 år,0
1919,Gratangen,menn,75 år og eldre,0
1919,Gratangen,kvinner,0-74 år,0
1919,Gratangen,kvinner,75 år og eldre,0
904,Grimstad,menn,0-74 år,9
904,Grimstad,menn,75 år og eldre,4
904,Grimstad,kvinner,0-74 år,6
904,Grimstad,kvinner,75 år og eldre,5
423,Grue,menn,0-74 år,3
423,Grue,menn,75 år og eldre,2
423,Grue,kvinner,0-74 år,2
423,Grue,kvinner,75 år og eldre,2
1411,Gulen,menn,0-74 år,0
1411,Gulen,menn,75 år og eldre,0
1411,Gulen,kvinner,0-74 år,0
1411,Gulen,kvinner,75 år og eldre,0
2011,Guovdageaidnu Kautokeino,menn,0-74 år,0
2011,Guovdageaidnu Kautokeino,menn,75 år og eldre,0
2011,Guovdageaidnu Kautokeino,kvinner,0-74 år,0
2011,Guovdageaidnu Kautokeino,kvinner,75 år og eldre,0
1119,Hå,menn,0-74 år,6
1119,Hå,menn,75 år og eldre,4
1119,Hå,kvinner,0-74 år,3
1119,Hå,kvinner,75 år og eldre,5
1866,Hadsel,menn,0-74 år,4
1866,Hadsel,menn,75 år og eldre,3
1866,Hadsel,kvinner,0-74 år,3
1866,Hadsel,kvinner,75 år og eldre,2
1034,Hægebostad,menn,0-74 år,0
1034,Hægebostad,menn,75 år og eldre,0
1034,Hægebostad,kvinner,0-74 år,0
1034,Hægebostad,kvinner,75 år og eldre,0
101,Halden,menn,0-74 år,14
101,Halden,menn,75 år og eldre,7
101,Halden,kvinner,0-74 år,11
101,Halden,kvinner,75 år og eldre,10
403,Hamar,menn,0-74 år,11
403,Hamar,menn,75 år og eldre,11
403,Hamar,kvinner,0-74 år,10
403,Hamar,kvinner,75 år og eldre,11
1849,Hamarøy Hábmer,menn,0-74 år,2
1849,Hamarøy Hábmer,menn,75 år og eldre,1
1849,Hamarøy Hábmer,kvinner,0-74 år,1
1849,Hamarøy Hábmer,kvinner,75 år og eldre,1
2004,Hammerfest,menn,0-74 år,4
2004,Hammerfest,menn,75 år og eldre,2
2004,Hammerfest,kvinner,0-74 år,3
2004,Hammerfest,kvinner,75 år og eldre,2
1517,Hareid,menn,0-74 år,4
1517,Hareid,menn,75 år og eldre,1
1517,Hareid,kvinner,0-74 år,2
1517,Hareid,kvinner,75 år og eldre,1
1903,Harstad Hárstták,menn,0-74 år,12
1903,Harstad Hárstták,menn,75 år og eldre,6
1903,Harstad Hárstták,kvinner,0-74 år,9
1903,Harstad Hárstták,kvinner,75 år og eldre,9
2015,Hasvik,menn,0-74 år,0
2015,Hasvik,menn,75 år og eldre,0
2015,Hasvik,kvinner,0-74 år,0
2015,Hasvik,kvinner,75 år og eldre,0
1826,Hattfjelldal,menn,0-74 år,0
1826,Hattfjelldal,menn,75 år og eldre,0
1826,Hattfjelldal,kvinner,0-74 år,0
1826,Hattfjelldal,kvinner,75 år og eldre,0
1106,Haugesund,menn,0-74 år,13
1106,Haugesund,menn,75 år og eldre,9
1106,Haugesund,kvinner,0-74 år,12
1106,Haugesund,kvinner,75 år og eldre,11
1832,Hemnes,menn,0-74 år,3
1832,Hemnes,menn,75 år og eldre,2
1832,Hemnes,kvinner,0-74 år,2
1832,Hemnes,kvinner,75 år og eldre,2
618,Hemsedal,menn,0-74 år,0
618,Hemsedal,menn,75 år og eldre,0
618,Hemsedal,kvinner,0-74 år,0
618,Hemsedal,kvinner,75 år og eldre,0
1515,Herøy (Møre og Romsdal),menn,0-74 år,4
1515,Herøy (Møre og Romsdal),menn,75 år og eldre,3
1515,Herøy (Møre og Romsdal),kvinner,0-74 år,3
1515,Herøy (Møre og Romsdal),kvinner,75 år og eldre,3
1818,Herøy (Nordland),menn,0-74 år,1
1818,Herøy (Nordland),menn,75 år og eldre,0
1818,Herøy (Nordland),kvinner,0-74 år,1
1818,Herøy (Nordland),kvinner,75 år og eldre,1
827,Hjartdal,menn,0-74 år,0
827,Hjartdal,menn,75 år og eldre,0
827,Hjartdal,kvinner,0-74 år,0
827,Hjartdal,kvinner,75 år og eldre,0
1133,Hjelmeland,menn,0-74 år,2
1133,Hjelmeland,menn,75 år og eldre,1
1133,Hjelmeland,kvinner,0-74 år,2
1133,Hjelmeland,kvinner,75 år og eldre,1
620,Hol,menn,0-74 år,3
620,Hol,menn,75 år og eldre,1
620,Hol,kvinner,0-74 år,1
620,Hol,kvinner,75 år og eldre,2
612,Hole,menn,0-74 år,3
612,Hole,menn,75 år og eldre,2
612,Hole,kvinner,0-74 år,2
612,Hole,kvinner,75 år og eldre,1
715,Holmestrand,menn,0-74 år,12
715,Holmestrand,menn,75 år og eldre,7
715,Holmestrand,kvinner,0-74 år,8
715,Holmestrand,kvinner,75 år og eldre,6
701,Horten,menn,0-74 år,14
701,Horten,menn,75 år og eldre,9
701,Horten,kvinner,0-74 år,9
701,Horten,kvinner,75 år og eldre,9
1416,Høyanger,menn,0-74 år,3
1416,Høyanger,menn,75 år og eldre,2
1416,Høyanger,kvinner,0-74 år,1
1416,Høyanger,kvinner,75 år og eldre,2
239,Hurdal,menn,0-74 år,0
239,Hurdal,menn,75 år og eldre,0
239,Hurdal,kvinner,0-74 år,0
239,Hurdal,kvinner,75 år og eldre,0
1579,Hustadvika,menn,0-74 år,5
1579,Hustadvika,menn,75 år og eldre,4
1579,Hustadvika,kvinner,0-74 år,5
1579,Hustadvika,kvinner,75 år og eldre,4
111,Hvaler,menn,0-74 år,2
111,Hvaler,menn,75 år og eldre,2
111,Hvaler,kvinner,0-74 år,2
111,Hvaler,kvinner,75 år og eldre,1
1413,Hyllestad,menn,0-74 år,0
1413,Hyllestad,menn,75 år og eldre,0
1413,Hyllestad,kvinner,0-74 år,0
1413,Hyllestad,kvinner,75 år og eldre,0
1917,Ibestad,menn,0-74 år,0
1917,Ibestad,menn,75 år og eldre,1
1917,Ibestad,kvinner,0-74 år,0
1917,Ibestad,kvinner,75 år og eldre,1
3014,Indre Østfold,menn,0-74 år,19
3014,Indre Østfold,menn,75 år og eldre,11
3014,Indre Østfold,kvinner,0-74 år,18
3014,Indre Østfold,kvinner,75 år og eldre,10
935,Iveland,menn,0-74 år,0
935,Iveland,menn,75 år og eldre,0
935,Iveland,kvinner,0-74 år,0
935,Iveland,kvinner,75 år og eldre,0
532,Jevnaker,menn,0-74 år,3
532,Jevnaker,menn,75 år og eldre,2
532,Jevnaker,kvinner,0-74 år,2
