kommunenummer,K1,K2,K3,K4,K5,K6,K7
1241,0.0,0.0,0.0,0.0,3861.0,0.0,0.0
1242,0.0,0.0,0.0,0.0,2465.0,0.0,0.0
1243,0.0,0.0,0.0,0.0,0.0,20804.0,0.0
1244,0.0,0.0,0.0,0.0,5212.0,0.0,0.0
1245,0.0,0.0,0.0,0.0,7062.0,0.0,0.0
1246,0.0,0.0,0.0,0.0,0.0,26166.0,0.0
1247,0.0,0.0,0.0,0.0,0.0,29275.0,0.0
1251,0.0,0.0,0.0,0.0,4045.0,0.0,0.0
1252,0.0,380.0,0.0,0.0,0.0,0.0,0.0
1253,0.0,0.0,0.0,0.0,8120.0,0.0,0.0
1256,0.0,0.0,0.0,0.0,8186.0,0.0,0.0
1259,0.0,0.0,0.0,0.0,4889.0,0.0,0.0
1260,0.0,0.0,0.0,0.0,5091.0,0.0,0.0
1263,0.0,0.0,0.0,0.0,15812.0,0.0,0.0
1264,0.0,0.0,0.0,0.0,2887.0,0.0,0.0
1265,0.0,0.0,562.0,0.0,0.0,0.0,0.0
1266,0.0,0.0,0.0,1711.0,0.0,0.0,0.0
1401,0.0,0.0,0.0,0.0,11851.0,0.0,0.0
1411,0.0,0.0,0.0,0.0,2322.0,0.0,0.0
1412,0.0,0.0,820.0,0.0,0.0,0.0,0.0
1413,0.0,0.0,0.0,1366.0,0.0,0.0,0.0
1416,0.0,0.0,0.0,0.0,4091.0,0.0,0.0
1417,0.0,0.0,0.0,0.0,2672.0,0.0,0.0
1418,0.0,0.0,0.0,1279.0,0.0,0.0,0.0
1419,0.0,0.0,0.0,0.0,2331.0,0.0,0.0
1420,0.0,0.0,0.0,0.0,8191.0,0.0,0.0
1421,0.0,0.0,0.0,1764.0,0.0,0.0,0.0
1422,0.0,0.0,0.0,0.0,2151.0,0.0,0.0
1424,0.0,0.0,0.0,0.0,5245.0,0.0,0.0
1426,0.0,0.0,0.0,0.0,5195.0,0.0,0.0
1428,0.0,0.0,0.0,0.0,3038.0,0.0,0.0
1429,0.0,0.0,0.0,0.0,2770.0,0.0,0.0
1430,0.0,0.0,0.0,0.0,3027.0,0.0,0.0
1431,0.0,0.0,0.0,0.0,3047.0,0.0,0.0
1432,0.0,0.0,0.0,0.0,13092.0,0.0,0.0
1433,0.0,0.0,0.0,0.0,2793.0,0.0,0.0
1438,0.0,0.0,0.0,0.0,3705.0,0.0,0.0
1439,0.0,0.0,0.0,0.0,5970.0,0.0,0.0
1441,0.0,0.0,0.0,0.0,2747.0,0.0,0.0
1443,0.0,0.0,0.0,0.0,6151.0,0.0,0.0
1444,0.0,0.0,0.0,1152.0,0.0,0.0,0.0
1445,0.0,0.0,0.0,0.0,5836.0,0.0,0.0
1449,0.0,0.0,0.0,0.0,7167.0,0.0,0.0
1502,0.0,0.0,0.0,0.0,0.0,27001.0,0.0
1504,0.0,0.0,0.0,0.0,0.0,47998.0,0.0
1505,0.0,0.0,0.0,0.0,0.0,24274.0,0.0
1511,0.0,0.0,0.0,0.0,3163.0,0.0,0.0
1514,0.0,0.0,0.0,0.0,2493.0,0.0,0.0
1515,0.0,0.0,0.0,0.0,8927.0,0.0,0.0
1516,0.0,0.0,0.0,0.0,8609.0,0.0,0.0
1517,0.0,0.0,0.0,0.0,5155.0,0.0,0.0
1519,0.0,0.0,0.0,0.0,9197.0,0.0,0.0
1520,0.0,0.0,0.0,0.0,10857.0,0.0,0.0
1523,0.0,0.0,0.0,0.0,2250.0,0.0,0.0
1524,0.0,0.0,0.0,1645.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0,4564.0,0.0,0.0
1526,0.0,0.0,947.0,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0,7657.0,0.0,0.0
1529,0.0,0.0,0.0,0.0,4764.0,0.0,0.0
1531,0.0,0.0,0.0,0.0,9271.0,0.0,0.0
1532,0.0,0.0,0.0,0.0,8398.0,0.0,0.0
1534,0.0,0.0,0.0,0.0,9383.0,0.0,0.0
1535,0.0,0.0,0.0,0.0,6536.0,0.0,0.0
1539,0.0,0.0,0.0,0.0,7487.0,0.0,0.0
1543,0.0,0.0,0.0,0.0,2956.0,0.0,0.0
