"kommunenummer","Rate"
"4213","7.203886748199"
"4214","6.2848102637453"
"4215","5.7654689591269"
"4216","3.9549599851107"
"4217","8.2012028430837"
"4218","10.21711366539"
"4219","8.9208633093525"
"4220","12.106537530266"
"4221","7.7881619937695"
"4222","10.111223458038"
"4223","5.3247337633118"
"4224","13.157894736842"
"4225","5.5115801817649"
"4226","14.64307504576"
"4227","9.2847317744154"
"4228","10.546559960295"
"4601","6.3135580202157"
"4602","6.6409354069701"
"4611","7.4187771808647"
"4612","8.1743869209809"
"4613","5.6912704666842"
"4614","5.5605481914177"
"4615","9.6733811312166"
"4616","10.159651669086"
"4617","8.2307634221853"
"4618","7.5234012772286"
"4619","23.461939520334"
"4620","17.88908765653"
"4621","8.6553945249597"
"4622","7.5811419095001"
"4623","12.067205049661"
