,kommunenummer,navn,SMR,RR
73,1839,Beiarn,0,1.060397541
74,1840,Saltdal,1.293405931,1.082894317
75,1841,Fauske,1.186842093,1.050946741
76,1845,Sørfold,1.496996367,1.008358384
77,1848,Steigen,1.095044132,0.999115121
78,1851,Lødingen,0.316352591,1.015044902
79,1853,Evenes,0,1.118954682
80,1856,Røst,0,0.930621175
81,1857,Værøy,0,1.32680842
82,1859,Flakstad,0,0.932577427
83,1860,Vestvågøy,0.99242471,1.002042623
84,1865,Vågan,1.452839729,0.994306799
85,1866,Hadsel,1.147204862,1.053245976
86,1867,Bø,0.954139115,1.046036508
87,1868,Øksnes,1.23750238,1.119244537
88,1870,Sortland,1.038618987,1.053786457
89,1871,Andøy,1.186754825,1.076075918
90,1874,Moskenes,0,0.932577427
91,1875,Hamarøy,1.28493498,1.148313597
92,3001,Halden,1.092849999,1.058269414
93,3002,Moss,1.118053319,1.038336621
94,3003,Sarpsborg,1.063792072,1.041928652
95,3004,Fredrikstad,1.148082283,1.027158099
96,3005,Drammen,1.089427293,1.003676493
97,3006,Kongsberg,0.921885253,0.983958405
98,3007,Ringerike,1.073738354,1.007188198
99,3011,Hvaler,1.18938996,1.036354073
100,3012,Aremark,0,1.080085117
101,3013,Marker,1.365476063,1.109740077
102,3014,Indre Østfold,1.076466724,1.068140425
103,3015,Skiptvet,0.465332427,1.076681333
104,3016,Rakkestad,1.091071694,1.060835038
105,3017,Råde,1.257658498,1.021619895
106,3018,Våler,1.133032579,1.005054411
107,3019,Vestby,0.944081081,0.983840626
108,3020,Nordre Follo,0.914208473,0.955747401
109,3021,Ås,0.877276355,0.979944588
110,3022,Frogn,1.111220951,0.994286101
111,3023,Nesodden,1.057684056,0.976161041
112,3024,Bærum,0.928683806,0.944009553
113,3025,Asker,0.909388395,0.958042497
114,3026,Aurskog-Høland,1.079716915,1.059976625
115,3027,Rælingen,0.86372294,0.950232623
116,3028,Enebakk,1.088143462,1.027978094
117,3029,Lørenskog,0.94054478,0.967442812
118,3030,Lillestrøm,0.963182799,0.976139993
119,3031,Nittedal,0.933271776,0.968360594
120,3032,Gjerdrum,0.526778363,0.978757957
121,3033,Ullensaker,0.855833452,1.003762807
122,3034,Nes,0.975285502,1.023155035
123,3035,Eidsvoll,1.1719,1.058913316
124,3036,Nannestad,1.008818248,1.00488293
125,3037,Hurdal,0,1.066456465
126,3038,Hole,1.009794853,0.946640557
127,3039,Flå,0,0.933319298
128,3040,Nesbyen,0.878811947,1.043894846
129,3041,Gol,0.809488709,1.007636993
130,3042,Hemsedal,0,1.007447477
131,3043,Ål,0.955135644,1.019506044
132,3044,Hol,1.020840887,0.990503165
133,3045,Sigdal,1.082701051,1.001525135
134,3046,Krødsherad,1.074806221,1.02399074
135,3047,Modum,0.920160099,1.037524369
136,3048,Øvre Eiker,1.001353221,1.040887246
137,3049,Lier,1.111583702,0.971384412
138,3050,Flesberg,0,1.009719834
139,3051,Rollag,0,0.932527961
140,3052,Nore og Uvdal,0.880933394,1.036984825
141,3053,Jevnaker,1.082534152,0.984143692
142,3054,Lunner,0.856488034,0.994488711
143,3401,Kongsvinger,1.065692181,1.097101314
144,3403,Hamar,1.059875189,0.997348883
145,3405,Lillehammer,1.167172474,0.983318404
146,3407,Gjøvik,1.052682039,1.032556759
147,3411,Ringsaker,1.090893526,1.068749866
148,3412,Løten,1.14205642,1.041922312
149,3413,Stange,1.163709887,1.020862186
150,3414,Nord-Odal,1.318286716,1.127766715
151,3415,Sør-Odal,1.161968277,1.047263735
152,3416,Eidskog,1.289531891,1.114003439
153,3417,Grue,1.329983732,1.173834314
154,3418,Åsnes,1.351927936,1.093820478
155,3419,Våler,1.364160955,1.217179472
156,3420,Elverum,1.180996103,1.044837145
157,3421,Trysil,1.384197125,1.023164373
158,3422,Åmot,0.881048034,1.061831597
159,3423,Stor-Elvdal,1.10568069,1.043458746
160,3424,Rendalen,0,1.116706589
161,3425,Engerdal,0,0.942783608
162,3426,Tolga,0,0.942743792
163,3427,Tynset,0.984131151,1.007809551
164,3428,Alvdal,0,1.005891249
165,3429,Folldal,0,0.945246128
166,3430,Os,0,0.943399783
167,3431,Dovre,1.32541208,1.087990463
168,3432,Lesja,0,1.052748865
169,3433,Skjåk,0.94078263,0.960284956
170,3434,Lom,1.301212914,1.020645126
171,3435,Vågå,0.804580881,1.064117278
172,3436,Nord-Fron,0.885061745,1.080213939
173,3437,Sel,1.260359009,1.053837562
174,3438,Sør-Fron,1.203961896,1.048107397
175,3439,Ringebu,1.139071378,1.021578231
176,3440,Øyer,0.91388647,1.010630826
177,3441,Gausdal,1.103985584,1.048358256
178,3442,Østre Toten,1.127209024,1.058876552
179,3443,Vestre Toten,0.824342468,1.049792151
180,3446,Gran,0.96797761,1.016293603
181,3447,Søndre Land,1.370959193,1.186428108
182,3448,Nordre Land,1.383643635,1.072642664
183,3449,Sør-Aurdal,1.170207334,0.989378131
184,3450,Etnedal,0,1.090647737
185,3451,Nord-Aurdal,0.967955586,1.085250479
186,3452,Vestre Slidre,0,1.049434528
187,3453,Øystre Slidre,0.976711181,1.050011591
188,3454,Vang,0,1.051465169
189,3801,Horten,1.167503781,1.031363681
190,3802,Holmestrand,1.11549723,1.030883031
191,3803,Tønsberg,1.030078575,1.002280568
192,3804,Sandefjord,1.140365396,1.042696766
193,3805,Larvik,1.05928716,1.02102512
194,3806,Porsgrunn,1.065213323,1.032094743
195,3807,Skien,0.95558659,1.030424557
196,3808,Notodden,1.112459381,1.038545784
197,3811,Færder,1.177394796,1.008992491
198,3812,Siljan,0,1.069666039
199,3813,Bamble,0.922330041,1.01129523
200,3814,Kragerø,1.304222913,1.020898393
201,3815,Drangedal,1.137833219,1.016035984
202,3816,Nome,1.290356506,1.026806832
203,3817,Midt-Telemark,0.851358626,1.083780209
204,3818,Tinn,1.331753921,1.025353254
205,3819,Hjartdal,0,1.006187885
206,3820,Seljord,1.048592503,0.991396735
207,3821,Kviteseid,0,1.146192587
208,3822,Nissedal,0,1.110071474
209,3823,Fyresdal,0,0.920524542
210,3824,Tokke,0,1.022621391
211,3825,Vinje,1.268186475,1.027141703
212,4201,Risør,1.232441991,1.032950156
213,4202,Grimstad,0.888595533,0.987507967
214,4203,Arendal,1.038922662,1.026938915
215,4204,Kristiansand,0.9384695,0.967729699
216,4205,Lindesnes,1.049721407,1.0192702
217,4206,Farsund,1.219253525,1.075892147
218,4207,Flekkefjord,1.185688462,1.022716042
219,4211,Gjerstad,0,0.96853874
220,4212,Vegårshei,0,0.987938491
221,4213,Tvedestrand,1.197315503,1.099220296
222,4214,Froland,0.919001359,1.060255291
223,4215,Lillesand,0.847186117,0.978794451
224,4216,Birkenes,0,0.994510186
225,4217,Åmli,0,0.967650828
226,4218,Iveland,0,1.022465972
227,4219,Evje og Hornnes,1.318340177,0.981013018
228,4220,Bygland,0,1.084723301
229,4221,Valle,0,0.920689398
230,4222,Bykle,0,0.925566314
231,4223,Vennesla,0.910370639,1.012130981
232,4224,Åseral,0,0.916319952
233,4225,Lyngdal,0.919517708,1.0176217
234,4226,Hægebostad,0,1.010474763
235,4227,Kvinesdal,1.325647245,1.058773787
236,4228,Sirdal,0,0.975053198
237,4601,Bergen,1.058082515,0.999164881
238,4602,Kinn,1.209056189,1.048001863
