kommunenummer,kommunenavn
1539,Rauma
716,Re
432,Rendalen
5022,Rennebu
1142,Rennesoy
5061,Rindal
520,Ringebu
605,Ringerike
412,Ringsaker
901,Risor
5019,Roan
1836,Rodoy
632,Rollag
121,Romskog
5025,Roros
1856,Rost
627,Royken
136,Rygge
1923,Salangen
1840,Saltdal
1242,Samnanger
1514,Sande (More og Romsdal)
713,Sande (Vestfold)
710,Sandefjord
1102,Sandnes
1546,Sandoy
105,Sarpsborg
1135,Sauda
822,Sauherad
517,Sel
5032,Selbu
1441,Selje
828,Seljord
621,Sigdal
811,Siljan
1046,Sirdal
1913,SkAnland
5029,Skaun
231,Skedsmo
213,Ski
806,Skien
127,Skiptvet
513,SkjAk
1941,Skjervoy
1529,Skodje
1573,Smola
5041,Snaase - Snasa
5012,Snillfjord
1420,Sogndal
1018,Sogne
1111,Sokndal
1124,Sola
1412,Solund
1812,Somna
536,Sondre Land
1017,Songdalen
540,Sor-Aurdal
1845,Sorfold
519,Sor-Fron
419,Sor-Odal
1925,Sorreisa
1870,Sortland - Suorta
226,Sorum
2030,Sor-Varanger
123,Spydeberg
417,Stange
1103,Stavanger
1848,Steigen
5004,Steinkjer
5035,Stjordal
1221,Stord
1526,Stordal
430,Stor-Elvdal
1939,Storfjord - Omasvuotna - Omasvuono
1130,Strand
1525,Stranda
1449,Stryn
1531,Sula
1134,Suldal
1245,Sund
1563,Sunndal
1566,Surnadal
1216,Sveio
711,Svelvik
1528,Sykkylven
1121,Time
1560,Tingvoll
826,Tinn
1852,Tjeldsund
833,Tokke
436,Tolga
704,Tonsberg
1928,Torsken
1835,Traena
1927,Tranoy
122,Trogstad
1902,Tromso
5001,Trondheim
428,Trysil
914,Tvedestrand
5033,Tydal
437,Tynset
1223,Tysnes
1146,Tysvaer
235,Ullensaker
1231,Ullensvang
1516,Ulstein
1233,Ulvik
2027,Unjarga - Nesseby
1151,Utsira
2003,Vadso
1857,Vaeroy
515,VAgA
1865,VAgan
1439,VAgsoy
1251,Vaksdal
426,Valer (Hedmark)
137,Valer (ostfold)
940,Valle
545,Vang
1511,Vanylven
2002,Vardo
1824,Vefsn
1815,Vega
912,Vegarshei
1014,Vennesla
5038,Verdal
5039,Verran
211,Vestby
1535,Vestnes
543,Vestre Slidre
529,Vestre Toten
1860,Vestvagoy
1816,Vevelstad
1417,Vik
5050,Vikna
1160,Vindafjord
834,Vinje
1519,Volda
1235,Voss
