,kommunenummer,navn,SMR,RR,LL,UL
203,3817,Midt-Telemark,0,0.142045377,0.009876068,0.520917535
204,3818,Tinn,0,0.198566066,0.012155213,0.765284382
205,3819,Hjartdal,0,0.347210876,0.013929108,1.551207026
206,3820,Seljord,0,0.35560153,0.014655984,1.572176637
207,3821,Kviteseid,0,0.278168149,0.009646154,1.300827941
208,3822,Nissedal,0,0.296329642,0.010690061,1.363800416
209,3823,Fyresdal,0,0.410003739,0.017131976,1.785445187
210,3824,Tokke,0,0.33179279,0.013312747,1.486468569
211,3825,Vinje,0,0.241375979,0.012704994,0.983396345
212,4201,Risør,1.794640265,1.838939667,0.693009388,3.577472364
213,4202,Grimstad,1.25625936,1.278212875,0.687684082,2.046062486
214,4203,Arendal,1.562771838,1.580997657,1.081043735,2.168156634
215,4204,Kristiansand,1.401199308,1.383374385,1.073698997,1.728270567
216,4205,Lindesnes,1.625020685,1.660250151,0.96962724,2.527524666
217,4206,Farsund,1.723402395,1.512847285,0.663902503,2.718417673
218,4207,Flekkefjord,1.807865174,1.869568716,0.816356225,3.369214134
219,4211,Gjerstad,0,0.38722425,0.015595195,1.702851768
220,4212,Vegårshei,0,0.37142104,0.014813592,1.641827628
221,4213,Tvedestrand,1.405995455,1.209227373,0.358219355,2.639965291
222,4214,Froland,0,0.197224725,0.011296515,0.766473842
223,4215,Lillesand,1.411096145,1.354483609,0.563858674,2.502402625
224,4216,Birkenes,0,0.270105371,0.01372707,1.088813215
225,4217,Åmli,0,0.380051749,0.015457764,1.669992724
226,4218,Iveland,0,0.355152133,0.013440843,1.594856046
227,4219,Evje og Hornnes,0,0.27366677,0.01421345,1.096380894
228,4220,Bygland,0,0.306471752,0.011402412,1.39583546
229,4221,Valle,0,0.406664453,0.01702976,1.773975754
230,4222,Bykle,0,0.965956405,0.018471119,5.685446951
231,4223,Vennesla,1.899024782,1.921566707,0.997802132,3.141727147
232,4224,Åseral,0,1.067097211,0.018889718,6.340192717
233,4225,Lyngdal,1.31133351,1.153230415,0.44485172,2.216687691
234,4226,Hægebostad,0,0.354895009,0.013748327,1.588856458
235,4227,Kvinesdal,0,0.195055109,0.011283709,0.758180932
236,4228,Sirdal,0,0.363906637,0.014989453,1.602961303
237,4601,Bergen,1.197586027,1.199667669,1.014300748,1.398810377
238,4602,Kinn,1.659390425,1.556183135,0.827324245,2.508114308
239,4611,Etne,0,0.260139181,0.014040611,1.049947452
240,4612,Sveio,0,0.251807893,0.012455643,1.042342014
241,4613,Bømlo,0,0.144178747,0.009952434,0.533836115
242,4614,Stord,0,0.114379328,0.009760921,0.394624589
243,4615,Fitjar,0,0.3584499,0.013665949,1.620086809
244,4616,Tysnes,0,0.297827333,0.010176158,1.396457414
245,4617,Kvinnherad,0,0.133619831,0.010518713,0.473716673
246,4618,Ullensvang,1.908195673,1.754661533,0.881067586,2.925770093
247,4619,Eidfjord,0,0.905109934,0.017610499,5.355477757
248,4620,Ulvik,0,0.374856857,0.015645413,1.66651014
249,4621,Voss,1.160913292,1.092273529,0.509430569,1.898679975
250,4622,Kvam,0.936254078,0.958769342,0.292660491,2.065013821
251,4623,Samnanger,0,0.354889507,0.014531672,1.58714814
252,4624,Bjørnafjorden,1.015968182,0.984155968,0.499356936,1.63098632
253,4625,Austevoll,0,0.255236201,0.012806512,1.052955751
254,4626,Øygarden,1.327723312,1.297765678,0.805349703,1.90021057
255,4627,Askøy,0.978966404,0.990801275,0.519504369,1.610478779
256,4628,Vaksdal,0,0.22514815,0.011389402,0.94058062
257,4629,Modalen,0,0.819460181,0.014686963,4.969694422
258,4630,Osterøy,0,0.161572871,0.010001298,0.619275787
259,4631,Alver,0,0.07658221,0.007136715,0.255798707
