"","kommunenummer","navn","Y","expected","SMR","kommunenavn","air_quality","re_u","re_v","RR","LL","UL"
"29",1514,"Sande",0,41.7030152765189,0,"Sande",2.45,29,29,0.0169002850211786,0.000365538359044071,0.0785918944388848
"30",1515,"HerÃ¸y",176,140.727369400158,1.25064513569883,"Herøy (Møre og Romsdal)",2.925,30,30,1.25162787938393,1.07307079405489,1.44241769855281
"31",1516,"Ulstein",110,124.351285172828,0.884590777225324,"Ulstein",2.925,31,31,0.88610213024782,0.72788491692461,1.05816827892037
"32",1517,"Hareid",87,77.4914384131115,1.12270467269168,"Hareid",2.8,32,32,1.12435023995664,0.90002121929381,1.37091787423023
"33",1520,"Ã˜rsta",200,169.88170369645,1.17728981784505,"Ørsta",2.6,33,33,1.17782303962516,1.0198394708467,1.34598349600789
"34",1525,"Stranda",74,78.8072298266504,0.939000142027264,"Stranda",1.975,34,34,0.939078654026838,0.736791839667177,1.16332161190031
"35",1528,"Sykkylven",122,116.892517450089,1.04369383653742,"Sykkylven",2.35,35,35,1.04420761278095,0.8666655273141,1.23652441490341
"36",1531,"Sula",137,134.951640623716,1.01517846961191,"Sula",3.225,36,36,1.01682519767872,0.853325502261851,1.19309052889032
"37",1532,"Giske",132,122.598162070037,1.07668824533105,"Giske",3,37,37,1.0780949231491,0.901632104008518,1.26864784519661
"38",1535,"Vestnes",114,102.094046302692,1.11661751226912,"Vestnes",2.175,38,38,1.1167914775643,0.920623519721129,1.32984529517619
"39",1539,"Rauma",0,123.408724332409,0,"Rauma",1.95,39,39,0.0061676209582754,0.000171273207344773,0.0271810578705619
"40",1547,"Aukra",0,56.5782864234099,0,"Aukra",2.425,40,40,0.0130647808653418,0.000319547089021534,0.0592019039663126
"41",1554,"AverÃ¸y",0,90.123259735627,0,"Averøy",2.475,41,41,0.00894548302360475,0.000268299884908539,0.0387703851085663
"42",1557,"Gjemnes",0,40.9827835772867,0,"Gjemnes",2.025,42,42,0.015490655497806,0.000272405061313445,0.0750928915040081
"43",1560,"Tingvoll",0,53.5927061779314,0,"Tingvoll",2.025,43,43,0.0124652458022281,0.000249727756018575,0.0588702530150447
"44",1563,"Sunndal",130,114.947931722236,1.13094683873161,"Sunndal",2.05,44,44,1.13089607725498,0.944345459138472,1.33248845081286
"45",1566,"Surnadal",0,98.7716211243644,0,"Surnadal",1.975,45,45,0.00745999006059316,0.000191352087124668,0.0334520156940604
"46",1573,"SmÃ¸la",0,36.8807810292105,0,"Smøla",2.025,46,46,0.0168570402945329,0.000280806057975969,0.0825873460964317
"47",1576,"Aure",67,60.4294691710931,1.10873057332845,"Aure",1.975,47,47,1.1084036866704,0.858220432262164,1.38720322455382
"48",1577,"Volda",180,164.947905771526,1.09125362433715,"Volda",2.625,48,48,1.09189463804294,0.937793648860171,1.25644003086142
"49",1578,"Fjord",55,45.0629330496662,1.22051531664354,"Fjord",1.625,49,49,1.21833944284955,0.916852442742921,1.55837119051621
"50",1579,"Hustadvika",216,199.018815047322,1.08532452044115,"Hustadvika",2.45,50,50,1.08571072677945,0.945405702427138,1.2347174963297
