,kommunenummer,RR,LL,UL
191,3803,0.372481715,0.352343406,0.393123761
192,3804,0.291300125,0.274901905,0.308127242
193,3805,0.409881242,0.388348248,0.431935979
194,3806,0.36648004,0.342640902,0.391046359
195,3807,0.293282964,0.27560078,0.311464138
196,3808,1.135711682,1.069654958,1.203559678
197,3811,0.611050855,0.576406413,0.646608661
198,3812,7.219243978,6.810025748,7.639247691
199,3813,1.032595552,0.970219497,1.09673552
200,3814,0.94514471,0.879533906,1.012877137
201,3815,2.196061617,2.035278771,2.362300718
202,3816,2.381762311,2.245153441,2.522018754
203,3817,1.641024475,1.546737076,1.73783426
204,3818,2.847020692,2.687081974,3.011132928
205,3819,7.880911232,7.403554015,8.371808317
206,3820,3.147740774,2.921678771,3.381340373
207,3821,7.378901386,6.973595626,7.794524371
208,3822,0.012792203,0.001041091,0.04363561
209,3823,0.011605749,0.000923728,0.039864881
210,3824,4.880238597,4.565675654,5.204317873
211,3825,3.74043324,3.512681828,3.974682517
212,4201,1.777859671,1.665198251,1.893878849
213,4202,0.877890562,0.828833137,0.928220694
214,4203,0.321721047,0.301070205,0.342994357
215,4204,0.148217473,0.138628591,0.158097359
216,4205,0.581737459,0.542175129,0.622555505
217,4206,1.10395145,1.028416557,1.181896913
218,4207,1.370597119,1.285091158,1.458609273
219,4211,0.538943194,0.44067306,0.646010225
220,4212,12.32256659,11.67434045,12.98652429
221,4213,2.120624781,1.984643089,2.260702098
222,4214,3.512089906,3.300923908,3.729196491
223,4215,1.518792183,1.427824509,1.612308012
224,4216,2.884184491,2.699434482,3.074493526
225,4217,8.421547189,7.943747943,8.911950864
226,4218,0.016232294,0.000991208,0.059982628
227,4219,3.662229563,3.440201962,3.890560658
228,4220,0.013793485,0.001050732,0.04799387
229,4221,0.012398323,0.000935617,0.043254492
230,4222,0.022232054,0.001405977,0.081452489
231,4223,1.0516364,0.979545849,1.12603169
232,4224,0.021704688,0.001364941,0.079637809
233,4225,1.456211445,1.361542992,1.553765911
234,4226,0.011841986,0.000902937,0.041161406
235,4227,1.808552825,1.677608881,1.943895347
236,4228,9.274771452,8.769888421,9.792378639
237,4601,0.061519121,0.057671926,0.065479373
238,4602,0.874892751,0.819806616,0.931609933
239,4611,3.757947748,3.551576204,3.969571354
240,4612,2.817647397,2.634873423,3.005982767
241,4613,1.691274059,1.595549719,1.789517311
242,4614,1.153164929,1.089989134,1.217944407
243,4615,10.19913478,9.720272094,10.68824026
244,4616,4.850390234,4.583027671,5.124584382
245,4617,1.074881064,1.012803492,1.138628923
246,4618,1.17836497,1.109792393,1.248797935
247,4619,0.020635557,0.001491439,0.072843235
248,4620,0.011171171,0.000841893,0.038922715
249,4621,1.160442611,1.098969315,1.223419324
250,4622,1.682349982,1.587287464,1.779908931
251,4623,4.596988607,4.285060088,4.91879761
252,4624,0.668829248,0.626736725,0.712167495
253,4625,4.070015104,3.850552295,4.294951269
254,4626,0.55859218,0.524700079,0.593447403
255,4627,0.660604043,0.619263408,0.70316058
256,4628,3.798441387,3.591310722,4.010801795
257,4629,0.043278607,0.002836648,0.156138488
258,4630,2.307872048,2.18496721,2.43380039
259,4631,0.723376108,0.683946652,0.763800657
260,4632,4.665376722,4.393599703,4.944536025
261,4633,51.51539105,49.63823286,53.42460308
262,4634,8.372395157,7.918435561,8.837746268
263,4635,5.89883081,5.557324376,6.249551384
264,4636,2.733432473,2.355683734,3.136254821
265,4637,0.009962251,0.000822564,0.033792089
266,4638,2.215141263,2.062825076,2.37233978
267,4639,4.597800452,4.328879261,4.874059555
268,4640,1.489417754,1.402398003,1.57880895
269,4641,9.387370301,8.866099834,9.922069129
270,4642,5.869046123,5.515624008,6.232428108
271,4643,2.857213344,2.699803802,3.018642862
272,4644,2.862280044,2.702218143,3.026497329
273,4645,4.058508581,3.838964009,4.283547179
274,4646,5.358009059,5.069367609,5.653841697
275,4647,0.839861994,0.790094285,0.891007439
276,4648,3.929574245,3.719493232,4.144845383
277,4649,1.017039849,0.943829396,1.09269651
278,4650,2.096709576,1.966168788,2.23106736
279,4651,1.903787486,1.787601208,2.023296724
280,5001,0.093893783,0.088033834,0.099925535
281,5006,0.516621723,0.48453756,0.549641485
282,5007,0.734515519,0.684260366,0.786374755
283,5014,2.295528396,2.129812049,2.466796087
284,5020,0.009889065,0.000638013,0.035977361
285,5021,1.19574798,1.104027115,1.290717445
286,5022,3.696374187,3.454381461,3.945790409
287,5025,1.920779135,1.798481536,2.046736826
288,5026,4.081586993,3.806310982,4.365535167
289,5027,2.433555912,2.293916387,2.576925714
290,5028,0.87482169,0.819184187,0.932122572
291,5029,2.61367517,2.465361839,2.76590159
292,5031,1.661226659,1.567674635,1.757226417
293,5032,2.36036916,2.204722614,2.520821309
294,5033,0.015920546,0.00127058,0.054528043
295,5034,3.278492205,3.027879244,3.537953039
296,5035,0.612149467,0.573583357,0.651858179
297,5036,8.952839188,8.540292744,9.374023427
298,5037,0.608764865,0.567489773,0.651346458
299,5038,0.803466344,0.749161472,0.859485104
300,5041,6.086066139,5.746896303,6.434008935
301,5042,10.40039241,9.809804239,11.00657553
302,5043,0.022028292,0.001146984,0.084908588
303,5044,0.013339131,0.000931294,0.047519889
304,5045,4.730688242,4.445125312,5.024320605
305,5046,0.009647468,0.000747477,0.033383494
306,5047,4.092201243,3.848458602,4.34273059
307,5049,0.009680664,0.000579058,0.035880442
308,5052,0.015772842,0.000730158,0.062477687
309,5053,2.163565836,2.035773834,2.294882956
310,5054,1.570364544,1.486011117,1.656812737
311,5055,1.813990931,1.70246736,1.928730463
312,5056,2.883793269,2.716942167,3.055142496
313,5057,1.051323369,0.98123042,1.123601557
