;kommunenummer;new_cases;Expected;RelativeRisk;PhyRate;PctPoverty;PctAct;PctOld;PctPrimary;PctUrban;PctImmigrants;SpecRate;PctSmoke;PctCramped;ColonRate;GPRate;PhyRate2;PhyRate3
36;1531;44;36,12582544;1,217965249;0,005846509;0,055;0,24;0,149827075;0,32;0,908226285;0,02;0,016137622;0,082;0,07;0,012393693;0,000905797;0,000190962;19,0961856
37;1532;25;31,90013909;0,783695642;0,006690912;0,074;0,24;0,14603441;0,3;0,744160022;0,019;0,016137622;0,108;0,05;0,012393693;0,001095724;0,000192979;19,29790587
38;1535;38;29,02203171;1,309350096;0,007226322;0,07;0,26;0,169895449;0,35;0,589790898;0,014;0,016137622;0,093;0,07;0,012393693;0,001076261;0,000189617;18,96170542
39;1539;37;33,02014678;1,12052803;0,006441441;0,064;0,24;0,197972973;0,33;0,610810811;0,013;0,016137622;0,08;0,04;0,012393693;0,001036036;0,000192307;19,23066578
40;1547;14;14,49762931;0,965675125;0,012927054;0,078;0,32;0,175746384;0,37;0,358264081;0,024;0,016137622;0,089;0,07;0,012393693;0,000615574;0,000169445;16,94450272
41;1554;27;24,63124462;1,096168725;0,008121981;0,067;0,29;0,173188406;0,35;0,186413043;0,013;0,016137622;0,164;0,06;0,012393693;0,000875604;0,000180876;18,08758425
42;1557;9;11,52135392;0,781158193;0,016137361;0,056;0,21;0,178931061;0,31;0,214175058;0,02;0,016137622;0,069;0;0,012393693;0,000645494;0,0001681;16,81002254
43;1560;18;13,67658782;1,316117751;0,014029364;0,07;0,17;0,217944535;0,28;0,337357259;0,025;0,016137622;0,13;0,07;0,012393693;0,000978793;0,000173479;17,34794326
44;1563;38;32,42667657;1,171874642;0,006261181;0,075;0,22;0,187560204;0,29;0,699600936;0,042;0,016137622;0,097;0,08;0,012393693;0,000756846;0,000183565;18,35654461
45;1566;34;26,5455207;1,280818726;0,007480249;0,059;0,2;0,193982182;0,35;0,428475374;0,009;0,016137622;0,063;0,04;0,012393693;0,00075643;0,000179531;17,95310407
46;1573;12;9,535682927;1,258431105;0,01965372;0,088;0,48;0,228357511;0,42;0;0;0,016137622;0,207;0,08;0,012393693;0,000935891;0,000169445;16,94450272
47;1576;26;15,72026717;1,653915911;0,012347431;0,077;0,37;0,210048254;0,35;0,187908033;0,013;0,016137622;0,063;0;0,012393693;0,000993471;0,000175497;17,54966353
48;1577;43;44,00603885;0,977138618;0,003447577;0,077;0,18;0,170046644;0,23;0,636382073;0,029;0,018506524;0,065;0,1;0,010405713;0,001216792;0,00028601;28,60099094
49;1578;14;12,4182525;1,127372793;0,015810277;0,059;0,23;0,195113187;0,33;0,3729788;0,014;0,016137622;0,134;0,09;0,012393693;0,001437298;0,000177514;17,7513838
50;1579;56;56,94636664;0,983381439;0,004074596;0,072;0,31;0,151857076;0,39;0,477511362;0,015;0,016137622;0,118;0,07;0,012393693;0,000940291;0,000209789;20,97890813
51;1804;249;213,502022;1,166265301;0,001685929;0,066;0,21;0,130875499;0,24;0,905929316;0,032;0,026656327;0,073;0,12;0,011203735;0,000996231;0,000651599;65,15991104
52;1806;108;97,47636572;1,107960881;0;0,069;0,25;0;0,29;0;0,033;0,037338402;0,077;0,11;0,009586756;0;0,000494613;49,4612602
53;1811;8;7,103793739;1,126158824;0,007328308;0,063;0,22;0,237437186;0,42;0,355527638;0;0,009413315;0;0,06;0,014072906;0,002303183;0,000137278;13,72775124
