komunenummer,komunenavn,digestive,exercise,smoke,snuff
3029,Lørenskog,127,2.357,17.418,24.273
3030,Lillestrøm,129,6.044,18.953,23.400
3031,Nittedal,128,2.575,18.669,25.012
3032,Gjerdrum,101,7.839,18.860,22.366
3033,Ullensaker,136,2.467,16.264,26.081
3034,Nes,124,2.412,18.737,24.697
3035,Eidsvoll,149,2.450,17.941,25.445
3036,Nannestad,145,7.586,20.442,23.730
3037,Hurdal,127,8.032,17.292,21.256
3038,Hole,123,13.177,13.924,14.978
3039,Flå,120,18.346,11.407,6.654
3040,Nesbyen,104,15.101,14.074,14.588
3041,Gol,88,14.717,13.602,14.345
3042,Hemsedal,78,11.715,11.228,14.228
3043,Ål,99,14.503,14.460,14.289
3044,Hol,120,13.574,13.305,14.674
3045,Sigdal,105,15.228,14.769,14.826
3046,Krødsherad,140,14.381,13.890,15.364
3047,Modum,104,14.566,14.545,15.268
3048,Øvre Eiker,121,13.404,13.980,15.273
3049,Lier,143,16.936,17.363,14.540
3050,Flesberg,136,14.827,14.047,14.753
3051,Rollag,80,18.997,10.946,8.545
3052,Nore og Uvdal,100,15.419,14.029,14.642
3053,Jevnaker,133,12.673,13.231,14.408
3054,Lunner,111,12.518,13.273,13.906
3401,Kongsvinger,114,12.694,13.592,14.015
3403,Hamar,115,12.703,21.591,23.331
3405,Lillehammer,134,12.522,22.168,23.942
3407,Gjøvik,120,12.264,22.047,24.457
3411,Ringsaker,124,12.456,22.441,23.083
3412,Løten,123,12.230,13.173,14.524
3413,Stange,129,12.262,22.081,23.502
3414,Nord-Odal,122,12.093,14.251,13.792
3415,Sør-Odal,118,12.581,13.881,13.856
3416,Eidskog,124,13.051,14.349,13.462
3417,Grue,133,13.194,14.079,13.021
3418,Åsnes,123,12.820,13.863,13.626
3419,Våler (Innlandet),120,13.265,14.050,13.319
3420,Elverum,129,12.320,22.512,23.992
3421,Trysil,140,14.099,12.652,13.596
3422,Åmot,108,12.104,12.605,15.660
3423,Stor-Elvdal,111,14.497,12.936,12.731
3424,Rendalen,95,11.105,23.724,13.909
3425,Engerdal,128,10.633,23.143,13.683
3426,Tolga,120,8.586,20.465,13.944
3427,Tynset,112,13.240,12.307,13.922
3428,Alvdal,161,12.214,12.256,14.624
3429,Folldal,89,10.026,22.031,14.432
3430,Os,93,8.641,20.285,13.014
3431,Dovre,127,13.172,13.326,13.902
3432,Lesja,104,13.507,12.656,14.107
3433,Skjåk,95,12.346,12.802,13.576
3434,Lom,122,12.140,13.537,13.319
3435,Vågå,104,11.834,13.145,14.150
3436,Nord-Fron,93,12.469,13.519,14.043
3437,Sel,121,11.931,13.455,13.818
3438,Sør-Fron,132,13.474,12.416,13.763
3439,Ringebu,116,13.679,12.497,13.474
3440,Øyer,97,13.272,12.384,13.824
3441,Gausdal,123,12.252,13.582,14.419
3442,Østre Toten,121,12.869,13.178,14.039
3443,Vestre Toten,96,12.096,13.411,14.448
3446,Gran,107,12.312,13.482,13.880
3447,Søndre Land,133,12.231,14.040,14.183
3448,Nordre Land,139,12.609,13.479,14.005
3449,Sør-Aurdal,113,12.735,13.105,13.306
3450,Etnedal,156,10.906,22.965,14.900
3451,Nord-Aurdal,114,13.060,12.935,13.827
3452,Vestre Slidre,111,12.935,13.641,13.829
3453,Øystre Slidre,129,12.897,12.488,13.526
3454,Vang,79,8.589,21.066,14.357
3801,Horten,136,17.507,17.776,14.079
3802,Holmestrand,137,13.406,14.303,15.010
3803,Tønsberg,126,15.129,16.052,15.080
3804,Sandefjord,137,17.343,17.668,14.315
3805,Larvik,119,17.613,17.634,13.986
3806,Porsgrunn,122,17.529,17.868,14.315
3807,Skien,109,17.367,17.796,14.379
3808,Notodden,124,15.159,14.417,15.072
3811,Færder,130,17.541,17.756,13.612
3812,Siljan,96,15.097,14.452,15.226
3813,Bamble,111,14.195,14.870,14.806
3814,Kragerø,136,15.216,14.715,14.561
3815,Drangedal,108,15.001,14.437,14.608
3816,Nome,134,15.286,14.596,14.566
3817,Midt-Telemark,98,14.079,14.163,15.320
3818,Tinn,122,15.739,14.526,14.561
3819,Hjartdal,82,18.702,10.305,8.079
3820,Seljord,100,14.833,14.354,15.140
3821,Kviteseid,88,14.685,14.226,15.269
3822,Nissedal,104,17.751,12.873,7.588
3823,Fyresdal,106,17.927,11.224,7.015
3824,Tokke,117,16.562,14.452,14.856
3825,Vinje,124,14.601,14.197,15.192
4201,Risør,131,13.431,15.918,12.070
4202,Grimstad,120,8.261,14.472,16.930
4203,Arendal,122,8.848,15.382,16.376
4204,Kristiansand,123,11.295,16.221,14.880
4205,Lindesnes,123,13.095,16.565,12.890
4206,Farsund,137,12.892,16.009,12.500
4207,Flekkefjord,129,13.063,15.890,12.301
4211,Gjerstad,103,13.505,16.157,11.995
