kommunenummer,kommunenavn,,,
833,Tokke,Østlandet ellers,306,318
436,Tolga,Hedmark og Oppland,210,251
704,Tønsberg,Østlandet ellers,6482,6749
1928,Torsken,Nord-Norge,115,128
1835,Træna,Nord-Norge,62,70
1927,Tranøy,Nord-Norge,184,217
122,Trøgstad,Østlandet ellers,728,760
1902,Tromsø,Nord-Norge,11515,12129
5001,Trondheim,Trøndelag,29444,31332
428,Trysil,Hedmark og Oppland,780,855
914,Tvedestrand,Agder og Rogaland,801,856
5033,Tydal,Trøndelag,84,101
437,Tynset,Hedmark og Oppland,836,871
1223,Tysnes,Vestlandet,399,379
1146,Tysvær,Agder og Rogaland,1881,1956
235,Ullensaker,Akershus og Oslo,6075,6214
1231,Ullensvang,Vestlandet,465,500
1516,Ulstein,Vestlandet,1319,1449
1233,Ulvik,Vestlandet,158,153
2027,Unjárga - Nesseby,Nord-Norge,112,122
1151,Utsira,Agder og Rogaland,22,38
2003,Vadsø,Nord-Norge,817,966
1857,Værøy,Nord-Norge,98,90
515,Vågå,Hedmark og Oppland,472,516
1865,Vågan,Nord-Norge,1354,1424
1439,Vågsøy,Vestlandet,861,950
1251,Vaksdal,Vestlandet,566,604
426,Våler (Hedmark),Hedmark og Oppland,401,457
137,Våler (Østfold),Østlandet ellers,840,896
940,Valle,Agder og Rogaland,149,160
545,Vang,Hedmark og Oppland,202,222
1511,Vanylven,Vestlandet,373,459
2002,Vardø,Nord-Norge,231,235
1824,Vefsn,Nord-Norge,1789,2003
1815,Vega,Nord-Norge,147,183
912,Vegårshei,Agder og Rogaland,323,333
1014,Vennesla,Agder og Rogaland,2340,2454
5038,Verdal,Trøndelag,2192,2389
5039,Verran,Trøndelag,311,332
211,Vestby,Akershus og Oslo,2716,2883
1535,Vestnes,Vestlandet,890,978
543,Vestre Slidre,Hedmark og Oppland,272,295
529,Vestre Toten,Hedmark og Oppland,1755,1918
1860,Vestvågøy,Nord-Norge,1722,1847
1816,Vevelstad,Nord-Norge,58,81
1417,Vik,Vestlandet,375,385
5050,Vikna,Trøndelag,728,783
1160,Vindafjord,Agder og Rogaland,1388,1417
834,Vinje,Østlandet ellers,513,546
1519,Volda,Vestlandet,1463,1525
1235,Voss,Vestlandet,2125,2243
