,kommunenummer,F0-24,M0-24,F25-45,F45-67,F67-79,F79-105,M25-45,M45-67,M67-79,M79-105
296,5025,736,726,597,887,410,212,608,840,438,156
297,1856,63,55,49,87,31,25,58,94,28,18
298,627,3429,3693,2940,3228,1169,448,2890,3412,1085,340
299,136,2165,2453,1857,2575,990,477,1882,2498,884,364
300,1923,300,359,204,323,154,62,209,351,161,60
301,1840,603,664,483,704,338,165,499,735,352,114
302,1242,315,386,272,345,153,91,292,378,186,47
303,1514,307,356,254,373,149,121,269,428,163,73
304,713,1448,1555,1233,1428,538,272,1249,1467,536,178
305,710,8924,9882,7689,9322,3635,1998,7849,9241,3447,1283
306,1102,12556,13331,11166,9664,2980,1493,11952,10229,2863,1011
307,1546,152,186,116,186,81,65,128,205,86,33
308,105,7937,8532,6961,7959,3339,1764,7116,8251,3015,1123
309,1135,666,672,509,633,265,215,533,700,248,156
310,822,563,634,461,656,276,149,480,695,270,109
311,517,769,807,553,880,411,254,611,935,409,160
312,5032,561,602,422,579,261,166,475,626,263,133
313,1441,407,387,254,413,166,129,287,446,188,70
314,828,393,410,315,430,216,106,339,447,200,78
315,621,429,498,354,528,239,148,353,613,248,80
316,811,284,364,293,342,134,86,273,371,124,58
317,1046,295,283,217,226,99,61,227,276,107,48
318,1913,390,391,299,426,217,121,346,488,255,76
319,5029,1355,1414,1107,1041,344,178,1149,1119,388,136
320,231,8322,8656,7519,7656,2780,1462,7790,8083,2431,952
321,213,4787,5200,3848,4338,1540,779,3851,4522,1460,518
322,806,7567,8151,6666,8149,3371,1769,6710,8102,3038,1121
323,127,586,587,471,519,199,96,499,568,211,61
324,513,291,268,217,317,178,94,242,350,178,69
325,1941,421,436,334,376,205,89,368,427,193,68
326,1529,783,806,615,625,204,105,652,662,230,82
327,1573,285,259,222,321,138,90,239,356,158,66
328,5041,298,318,188,311,137,96,220,310,158,64
329,5012,106,161,95,136,61,43,107,182,70,38
330,1420,1301,1374,1103,988,404,229,1219,1022,402,149
331,1018,1840,1929,1409,1557,591,273,1342,1716,568,178
332,1111,495,542,386,437,182,129,383,496,182,73
333,1124,4344,4564,3651,3404,1003,543,4017,3648,1026,382
334,1412,112,98,77,117,60,36,89,143,61,27
335,1812,260,314,203,317,134,73,210,318,127,58
336,536,691,783,565,904,373,202,609,974,385,137
337,1017,1099,1145,893,834,309,151,954,933,279,109
338,540,354,422,276,432,239,139,295,504,223,97
339,1845,256,264,183,282,158,82,207,315,175,53
340,519,409,463,325,479,197,119,346,484,213,92
341,419,999,1059,877,1315,495,262,888,1301,521,162
342,1925,527,535,360,519,206,111,409,539,210,73
343,1870,1544,1751,1232,1504,584,306,1327,1515,573,182
344,226,2916,3032,2500,2384,772,400,2570,2709,732,248
345,2030,1470,1480,1265,1498,539,301,1316,1567,533,187
346,123,834,946,787,817,407,147,804,838,350,112
347,417,2868,3131,2515,3142,1274,655,2558,3108,1217,448
348,1103,20704,21295,19331,17974,5750,3201,20258,18156,5467,1901
349,1848,322,324,258,377,196,106,287,413,220,73
350,5004,3159,3437,2411,3132,1425,787,2619,3244,1331,545
351,5035,3689,3999,2837,3360,1362,681,2839,3477,1334,450
352,1221,2998,3164,2284,2447,979,508,2430,2648,905,336
353,1526,143,135,82,160,57,47,79,159,55,30
354,430,286,265,246,378,182,112,257,423,213,97
355,1939,239,261,167,293,129,57,191,301,165,38
356,1130,2128,2225,1649,1598,586,338,1703,1655,600,238
357,1525,605,623,519,595,292,216,594,700,275,145
358,1449,1128,1136,754,954,394,247,904,1054,425,171
359,1531,1452,1634,1220,1101,429,264,1285,1292,400,194
360,1134,595,590,420,517,237,134,413,565,228,95
361,1245,1086,1199,941,890,345,162,990,974,375,100
362,1563,983,1048,704,1119,416,305,787,1164,418,162
363,1566,840,868,579,876,402,212,616,953,417,165
364,1216,918,1005,702,690,281,134,790,792,316,93
365,711,832,949,782,1048,469,166,807,1092,417,123
366,1528,1179,1156,850,1082,435,249,916,1180,444,166
367,1121,3099,3322,2543,2346,787,422,2740,2485,751,300
368,1560,382,432,297,463,223,124,324,481,224,95
369,826,765,756,560,930,434,227,609,949,405,145
370,1852,137,158,111,208,99,65,114,196,118,53
371,833,306,318,192,350,139,100,231,393,136,63
372,436,210,251,129,241,99,61,180,251,90,39
373,704,6482,6749,6000,6714,2569,1516,6106,6566,2301,973
374,1928,115,128,90,122,74,46,97,161,66,32
375,1835,62,70,50,67,22,13,63,69,30,10
376,1927,184,217,142,207,118,74,157,237,127,50
377,122,728,760,607,810,330,166,647,886,314,99
378,1902,11515,12129,11229,10444,3241,1472,12044,10396,3211,967
379,5001,29444,31332,28722,24692,8997,4618,32409,24866,8280,2798
380,428,780,855,672,1020,489,268,727,1048,525,223
381,914,801,856,679,923,389,206,702,950,430,133
382,5033,84,101,67,135,53,51,91,133,48,31
383,437,836,871,585,855,326,194,613,844,330,137
384,1223,399,379,295,384,196,130,335,406,232,90
385,1146,1881,1956,1364,1341,573,234,1427,1501,552,199
386,235,6075,6214,5450,4898,1720,736,5768,5331,1505,537
387,1231,465,500,338,477,215,164,330,496,223,112
388,1516,1319,1449,1022,1141,420,213,1160,1330,401,154
389,1233,158,153,97,167,73,44,108,172,90,31
390,2027,112,122,93,121,75,36,117,145,89,31
391,1151,22,38,23,26,12,5,18,36,10,6
392,2003,817,966,640,884,362,168,664,925,342,126
393,1857,98,90,69,108,48,30,103,115,49,22
394,515,472,516,375,523,268,149,388,558,237,103
395,1865,1354,1424,1169,1353,559,274,1248,1422,591,201
396,1439,861,950,607,837,340,259,682,939,349,146
397,1251,566,604,461,544,219,205,493,593,237,123
398,426,401,457,325,635,301,161,363,660,284,118
399,137,840,896,779,736,273,91,822,814,259,83
400,940,149,160,112,180,80,37,134,193,78,33
401,545,202,222,173,220,107,60,221,247,115,43
402,1511,373,459,264,475,252,159,292,517,267,105
403,2002,231,235,222,307,142,74,316,366,146,42
404,1824,1789,2003,1511,1923,812,497,1561,2075,845,387
405,1815,147,183,108,191,87,63,117,202,103,31
406,912,323,333,243,292,97,79,257,327,101,41
407,1014,2340,2454,1964,1852,714,366,2036,2046,626,232
408,5038,2192,2389,1716,2084,962,407,1774,2187,918,304
409,5039,311,332,225,365,151,131,261,423,163,87
410,211,2716,2883,2278,2499,1051,331,2243,2600,980,243
411,1535,890,978,677,971,387,218,778,1064,412,161
412,543,272,295,211,339,148,76,219,370,142,63
413,529,1755,1918,1505,2003,892,439,1660,2073,800,339
414,1860,1722,1847,1351,1624,634,395,1337,1661,661,248
415,1816,58,81,48,71,40,14,54,69,48,14
416,1417,375,385,253,370,184,151,283,393,186,92
417,5050,728,783,539,576,242,129,589,655,225,112
418,1160,1388,1417,977,1132,429,293,1161,1302,432,211
419,834,513,546,394,554,246,134,436,583,229,88
420,1519,1463,1525,1078,1186,514,325,1170,1218,503,215
421,1235,2125,2243,1700,1964,881,672,1750,2081,807,383
