komunenummer,komunenavn,alletyper,exercise,smoke,snuff
1578,Fjord,569,8.033313596,12.6440624,14.64
1579,Hustadvika,600,9.412454125,16.286214,24.33
5001,Trondheim,621,10.06397451,16.4582235,17.51
5006,Steinkjer,614,9.465893805,29.9163623,20.5
5007,Namsos,602,24.55241768,24.9393524,17.64
5014,Frøya,613,7.940594059,31.7425743,11.82178218
5020,Osen,488,0,36.3941769,31.24300112
5021,Oppdal,555,10.23021583,18,15.55395683
5022,Rennebu,663,11.44457783,16.1664666,15.6462585
5025,Røros,576,10.48951049,16.0839161,15.56392326
5026,Holtålen,478,11.01234568,14.4197531,15.0617284
5027,Midtre Gauldal,551,9.606425703,21.62249,14.08835341
5028,Melhus,567,9.868102614,18.1086641,17.37052275
5029,Skaun,576,9.83925962,17.3404774,19.02094496
5031,Malvik,615,9.386643737,19.3035254,17.44769275
5032,Selbu,535,10.6424718,16.3315351,16.25796959
5033,Tydal,602,0,37.917223,27.77036048
5034,Meråker,561,11.41797197,16.6941467,15.16900247
5035,Stjørdal,612,6.735884675,42.2129741,26.18414278
5036,Frosta,630,10.83142639,18.3829138,15.02669718
5037,Levanger,575,6.404958678,42.4173554,25.63016529
5038,Verdal,579,10.28602122,16.3824359,17.79911374
5041,Snåase Snåsa,660,11.37123746,16.0535117,16.48351648
5042,Lierne,689,42.05905826,23.0646449,5.18754988
5043,Raarvihke Røyrvik,610,17.84946237,5.1612903,12.25806452
5044,Namsskogan,604,0,36.4096081,28.57142857
5045,Grong,548,11.52384973,16.6314901,15.36513297
5046,Høylandet,513,37.39495798,24.4537815,5.12605042
5047,Overhalla,621,10.32425422,18.2101167,16.80933852
5049,Flatanger,562,41.18246687,21.7125382,4.791029562
5052,Leka,615,0,34.1040462,31.40655106
5053,Inderøy,612,10.75697211,16.0985687,17.22000885
5054,Indre Fosen,601,10.82872928,17.1069814,16.04218985
5055,Heim,581,8.7,22.3894167,19.74
5056,Hitra,660,9.39640411,25.1284247,12.9494863
5057,Ørland,604,10.4142784,16.7541585,16.76
5058,Åfjord,636,11.12781955,25.8098187,23.32
5059,Orkland,578,19.6616987,18.5995664,12.68
5060,Nærøysund,556,10.42176671,18.2444319,17.12
5061,Rindal,567,11.5175482,14.4834404,17.49876421
1804,Bodø,624,8.778846154,11.0211538,18.76153846
1806,Narvik,605,12.69654912,15.5627423,18.16
1811,Bindal,573,10,9.7241379,18
1812,Sømna,641,14.0019861,18.6196624,18.32174777
1813,Brønnøy,541,13.59039191,18.6219975,19.00126422
1815,Vega,638,9.845402766,9.4385679,18.71440195
1816,Vevelstad,676,8.943089431,19.1056911,12.39837398
1818,Herøy (Nordland),602,8.595505618,8.258427,24.7752809
1820,Alstahaug,596,13.60075635,18.2874122,17.89573204
1822,Leirfjord,615,13.37936987,17.9542512,18.55848079
1824,Vefsn,596,14.12564428,18.5702547,18.50302532
1825,Grane,653,9.711989283,9.2431346,19.62491628
1826,Hattfjelldal,565,9.050772627,9.2715232,19.42604857
1827,Dønna,690,9.920920201,9.4176851,19.05104242
1828,Nesna,565,9.406494961,8.7346025,22.90033595
1832,Hemnes,670,14.27618412,18.3233267,18.65688237
1833,Rana,609,8.902235062,10.7153718,17.33693173
1834,Lurøy,732,9.641728135,8.7987355,18.49315068
1835,Træna,630,14.97797357,20.2643172,13.43612335
1836,Rødøy,593,9.8546042,9.0468498,18.65912763
1837,Meløy,573,13.90780928,18.3589419,17.99461429
1838,Gildeskål,548,8.594539939,8.7967644,21.38523761
1839,Beiarn,431,9.197651663,9.7847358,17.80821918
1840,Saltdal,577,13.54547409,18.0606321,17.4371103
1841,Fauske Fuosko,596,13.73192493,18.5929648,18.31607015
1845,Sørfold,636,9.46835443,9.164557,19.08860759
1848,Steigen,577,14.44141689,18.3339821,16.27092254
1851,Lødingen,622,14.09946886,18.1071946,14.87204249
1853,Evenes,502,8.38150289,8.8150289,20.15895954
1856,Røst,683,7.480314961,23.0314961,13.38582677
1857,Værøy,532,7.103825137,25.8196721,13.93442623
1859,Flakstad,554,9.619860357,9.3095423,17.61055081
1860,Vestvågøy,570,14.07026414,18.6818935,18.87368146
1865,Vågan,590,14.4229765,18.7049608,17.79634465
1866,Hadsel,595,13.96931453,18.5102697,17.87923781
1867,Bø,593,14.46613088,18.4462304,16.22655951
1868,Øksnes,630,14.59739091,18.7809267,17.11650922
1870,Sortland Suortá,594,13.74881066,18.8772598,19.5432921
1871,Andøy,565,14.42045693,17.9626913,17.16621253
1874,Moskenes,637,8.80929332,8.5188771,22.07163601
1875,Hamarøy Hábmer,569,8.643388666,8.8151116,21.4653692
5401,Tromsø,666,9.359297302,11.7699265,19.23021705
5402,Harstad Hárstták,597,9.017648481,10.5770006,17.60012894
5403,Alta,601,8.926756063,11.0374207,18.9572542
5404,Vardø,625,15.92877767,19.2974013,16.74687199
