"","kommunenummer","navn","Y","expected","SMR","kommunenavn","air_quality","re_u","re_v","RR","LL","UL"
"28",1511,"Vanylven",0,1.69727292438832,0,"Vanylven",2.2,28,28,0.181788362220491,0.0117495291752679,0.740332448097724
"29",1514,"Sande",0,1.24212289972829,0,"Sande",2.45,29,29,0.234136648315365,0.0148595884878253,0.963724002834173
"30",1515,"HerÃ¸y",0,4.25151724355399,0,"Herøy (Møre og Romsdal)",2.925,30,30,0.170541153388323,0.01695998557417,0.579241211672176
"31",1516,"Ulstein",0,3.77862908031266,0,"Ulstein",2.925,31,31,0.181246090961769,0.0174047628664779,0.624259570854785
"32",1517,"Hareid",0,2.3436387443945,0,"Hareid",2.8,32,32,0.21590949745477,0.0174974440384761,0.798158702389972
"33",1520,"Ã˜rsta",2,5.12955576355594,0.389897311227113,"Ørsta",2.6,33,33,0.383809240763516,0.0808658803882859,0.980268006375555
"34",1525,"Stranda",0,2.35709217257752,0,"Stranda",1.975,34,34,0.147916975101428,0.0101366826433799,0.58652713402075
"35",1528,"Sykkylven",0,3.54939058927642,0,"Sykkylven",2.35,35,35,0.147558502159466,0.0123071735140586,0.538603297581792
"36",1531,"Sula",0,4.09812766441677,0,"Sula",3.225,36,36,0.191063063546382,0.0198239148534252,0.638667234159727
"37",1532,"Giske",3,3.73774582670467,0.802622794350066,"Giske",3,37,37,0.734212570213157,0.191546839834599,1.70875872632518
"38",1535,"Vestnes",0,3.0834380576904,0,"Vestnes",2.175,38,38,0.146692890283307,0.0113471842886243,0.55167399592612
"39",1539,"Rauma",4,3.69778789755686,1.08172780884561,"Rauma",1.95,39,39,0.841737532251297,0.238960492336626,1.88453688712084
"40",1547,"Aukra",0,1.71148647623199,0,"Aukra",2.425,40,40,0.201783432336082,0.0136911095341741,0.805090870139622
"41",1554,"AverÃ¸y",0,2.73878482985102,0,"Averøy",2.475,41,41,0.177068706897949,0.0141082687355212,0.658193840845348
"42",1557,"Gjemnes",0,1.24131895268978,0,"Gjemnes",2.025,42,42,0.184286086816891,0.0107126995389221,0.788185755849226
"43",1560,"Tingvoll",0,1.60865933901204,0,"Tingvoll",2.025,43,43,0.171906458250389,0.0106142966587624,0.712901371915725
"44",1563,"Sunndal",0,3.44010398213132,0,"Sunndal",2.05,44,44,0.133537225590724,0.0104542459792788,0.499788104568987
"45",1566,"Surnadal",0,2.98184886922472,0,"Surnadal",1.975,45,45,0.137506845367346,0.0101889912050727,0.526730454374126
"46",1573,"SmÃ¸la",0,1.11176401848359,0,"Smøla",2.025,46,46,0.195108852897397,0.011209517679332,0.838773276386813
"47",1576,"Aure",0,1.81248761079416,0,"Aure",1.975,47,47,0.164324931163514,0.0104659662970401,0.671833248187484
"48",1577,"Volda",0,4.99210903900355,0,"Volda",2.625,48,48,0.138834954791196,0.0135799496926766,0.474851035102735
"49",1578,"Fjord",0,1.35331987178156,0,"Fjord",1.625,49,49,0.147625581943672,0.00824757031338903,0.641446549075776
"50",1579,"Hustadvika",0,6.0495244696379,0,"Hustadvika",2.45,50,50,0.119532671622207,0.011981892194153,0.404156196390158
"51",1804,"BodÃ¸",27,22.934633104968,1.17725885896781,"Bodø",2.3,51,51,1.14289505543298,0.752388679768287,1.60917971514418
"52",1806,"Narvik",18,10.4799664278974,1.71756275402606,"Narvik",2.225,52,52,1.61587906700373,0.953304056073995,2.44540700416902
"53",1811,"Bindal",0,0.761911328842228,0,"Bindal",1.55,53,53,0.175075706799534,0.00881630968716578,0.799098953393637
"54",1812,"SÃ¸mna",0,0.995523466804627,0,"Sømna",1.725,54,54,0.182993284015637,0.00984970816358008,0.808053475263883
"55",1813,"BrÃ¸nnÃ¸y",0,3.64321782224711,0,"Brønnøy",1.925,55,55,0.133913796085299,0.010577158996545,0.496297213094984
"56",1815,"Vega",0,0.633262441925687,0,"Vega",1.75,56,56,0.189732754456952,0.0094321097423541,0.877525808269705
"57",1816,"Vevelstad",0,0.232687210411439,0,"Vevelstad",1.575,57,57,0.208917100897336,0.00911376220133644,1.03001731829496
"58",1818,"HerÃ¸y",0,0.873078039309274,0,"Herøy (Nordland)",1.8,58,58,0.183984954109442,0.00972679322463945,0.823535364079223
"59",1820,"Alstahaug",5,3.50277432113951,1.42743994947794,"Alstahaug",2.125,59,59,1.16611708779082,0.385493966430432,2.42867758386854
"60",1822,"Leirfjord",0,1.0750732706026,0,"Leirfjord",1.625,60,60,0.175225610798154,0.00936468924704448,0.772650036799947
"61",1824,"Vefsn",9,6.59324031682536,1.36503442427736,"Vefsn",2.35,61,61,1.23352573650663,0.567084923384773,2.164529248446
"62",1825,"Grane",0,0.810370819567058,0,"Grane",1.55,62,62,0.174122332767229,0.00884984938229797,0.790804636270613
"63",1826,"Hattfjelldal",0,0.712534971630004,0,"Hattfjelldal",1.45,63,63,0.169850430295562,0.00831835433435742,0.784137416553427
"64",1827,"DÃ¸nna",0,0.69584255765455,0,"Dønna",1.75,64,64,0.187075392808578,0.00944501461970841,0.857180425924449
"65",1828,"Nesna",0,0.842849069709612,0,"Nesna",1.75,65,65,0.20384503403142,0.0103308402172414,0.922547697856687
"66",1832,"Hemnes",0,2.31206240025964,0,"Hemnes",1.65,66,66,0.1433966822719,0.00934896782604618,0.575518391092856
"67",1833,"Rana",18,12.4097191448168,1.45047601722059,"Rana",2.475,67,67,1.38172752247352,0.817984118808373,2.08642891828624
"68",1834,"LurÃ¸y",0,1.01207943018046,0,"Lurøy",1.65,68,68,0.185725610831044,0.0096836654805265,0.826742905564208
"69",1835,"TrÃ¦na",0,0.211371405749323,0,"Træna",1.825,69,69,0.225761998752237,0.0100568475555404,1.11162321554172
"70",1836,"RÃ¸dÃ¸y",0,0.593240518938659,0,"Rødøy",1.525,70,70,0.192634302969765,0.00898897683694156,0.907479835494383
"71",1837,"MelÃ¸y",3,3.10141975938614,0.967298925248926,"Meløy",1.65,71,71,0.716343897429148,0.164748684716142,1.76324753263978
"72",1838,"GildeskÃ¥l",0,1.01091005199883,0,"Gildeskål",1.5,72,72,0.173197586570307,0.00882153437679262,0.778108410304389
"73",1839,"Beiarn",0,0.598785170032943,0,"Beiarn",1.275,73,73,0.167806554167216,0.00763581051914265,0.797875643351244
"74",1840,"Saltdal",0,2.31099894307856,0,"Saltdal",1.55,74,74,0.141901721409944,0.00895342482277776,0.575730154261802
