"","kommunenummer","population","cases","expected","SMR"
"54",1812,2025,11,9.0359185431816,1.21736378514617
"55",1813,7719,25,34.4435828320093,0.725824607792163
"56",1815,1270,7,5.66697113572377,1.23522774906564
"57",1816,520,5,2.3203346382491,2.15486159521065
"58",1818,1649,12,7.35813811244764,1.63084734434378
"59",1820,7296,37,32.5560798474336,1.13650046852667
"60",1822,2160,14,9.63831311272704,1.4525363345494
"61",1824,13307,61,59.3782558291939,1.02731208837577
"62",1825,1487,12,6.63526462899311,1.80851867573833
"63",1826,1463,12,6.52817226107392,1.83818678798558
"64",1827,1449,17,6.46570171312106,2.62925831630948
"65",1828,1808,9,8.06762504991227,1.11556994088339
"66",1832,4600,28,20.5260371845113,1.36412107940292
"67",1833,25499,130,113.781178732142,1.14254397298906
"68",1834,1912,16,8.53169197756209,1.87536071884442
"69",1835,490,6,2.18646917835012,2.74415027634989
"70",1836,1294,12,5.77406350364296,2.07825909646283
"71",1837,6650,35,29.6735102776087,1.17950318895741
"72",1838,2020,10,9.01360763319844,1.1094336925837
"73",1839,1103,5,4.92178674228608,1.01589123255625
"74",1840,4672,28,20.8473142882689,1.34309866550801
"75",1841,9533,55,42.5379809739013,1.29296216559372
"76",1845,1989,18,8.87527999130282,2.0281050307865
"77",1848,2619,15,11.6864546491815,1.28353726175205
"78",1851,2196,18,9.79895166460583,1.83693119591728
"79",1853,1342,5,5.98824823948134,0.834968725416945
"80",1856,605,2,2.6996201079629,0.740844978188126
"81",1857,748,6,3.3377121334814,1.79763855001531
"82",1859,1360,7,6.06856751542073,1.15348473625982
"83",1860,10780,48,48.1023219237026,0.997872827763598
"84",1865,9023,43,40.2622681556186,1.06799745691921
"85",1866,7924,40,35.358330141319,1.13127514337157
"86",1867,2790,13,12.4494877706058,1.04421966907699
"87",1868,4432,20,19.776390609077,1.01130688583894
"88",1870,9856,45,43.9792657588138,1.02320944253103
"89",1871,5033,25,22.4581619890533,1.11318103468065
"90",1874,1120,5,4.99764383622884,1.00047145491923
"91",1875,2766,24,12.3423954026866,1.94451718786905
"92",3001,29220,140,130.384957941613,1.0737434916587
"93",3002,44691,228,199.419375611521,1.14331919504229
"94",3003,52805,225,235.6255203322,0.954905053080756
"95",3004,74579,372,332.785071126884,1.11783860598171
"96",3005,92993,464,414.951690412882,1.11820245758805
"97",3006,25090,110,111.956146295519,0.982527566728174
"98",3007,28946,152,129.162320074536,1.17681379455158
"99",3011,4160,23,18.5626771059928,1.23904541724613
"100",3012,1414,10,6.30952534323891,1.58490527511958
"101",3013,3476,28,15.5105446202959,1.80522352280018
"102",3014,41108,201,183.431377517585,1.09577762932479
"103",3015,3576,22,15.9567628199592,1.37872576337863
"104",3016,7601,33,33.9170453564066,0.972962109559659
"105",3017,6946,33,30.9943161486121,1.06471134390483
"106",3018,4573,22,20.4055582706022,1.07813761859654
"107",3019,14708,65,65.6297728064766,0.99040415988741
"108",3020,53659,214,239.436223757324,0.89376618392084
"109",3021,16733,70,74.6656913496582,0.93751224604874
"110",3022,14814,62,66.1027640981196,0.937933547044573
"111",3023,17515,86,78.1551176710251,1.10037579831939
"112",3024,112789,496,503.285045218227,0.98552501154675
"113",3025,83703,358,373.498019664163,0.958505751441204
"114",3026,15310,83,68.3160063684496,1.21494221357664
"115",3027,15920,58,71.0379373863956,0.816465147130067
